B2,B3,B4,B8,B11,B12,latitude,longitude
1055.0,928.0,893.0,2037.0,2296.0,1504.0,-16.09684584262944,35.14129251328813
1056.0,955.0,994.0,1910.0,2580.0,1769.0,-16.09684490606476,35.141385958095135
1077.0,963.0,1082.0,1863.0,2580.0,1769.0,-16.096843969459282,35.14147940289598
1095.0,980.0,1107.0,1900.0,2721.0,1874.0,-16.09684303281301,35.141572847690654
1078.0,985.0,1112.0,1918.0,2721.0,1874.0,-16.096842096125936,35.14166629247916
1089.0,986.0,1154.0,1936.0,2649.0,1774.0,-16.096841159398064,35.141759737261495
1078.0,964.0,1097.0,1969.0,2649.0,1774.0,-16.096840222629393,35.14185318203765
1065.0,953.0,1011.0,1988.0,2542.0,1611.0,-16.096839285819925,35.141946626807645
1066.0,996.0,1017.0,1975.0,2542.0,1611.0,-16.09683834896966,35.142040071571465
1074.0,976.0,1033.0,1895.0,2580.0,1642.0,-16.096837412078592,35.14213351632911
1071.0,953.0,1024.0,1869.0,2580.0,1642.0,-16.096836475146727,35.14222696108059
1074.0,983.0,1062.0,1940.0,2764.0,1934.0,-16.096835538174062,35.14232040582589
1106.0,989.0,1115.0,1922.0,2764.0,1934.0,-16.096834601160605,35.14241385056503
1115.0,1015.0,1173.0,1893.0,2880.0,2126.0,-16.096833664106345,35.142507295297996
1114.0,1005.0,1196.0,1826.0,2880.0,2126.0,-16.096832727011286,35.14260074002478
1121.0,1005.0,1156.0,1777.0,2761.0,2025.0,-16.09683178987543,35.142694184745395
1134.0,1015.0,1167.0,1749.0,2761.0,2025.0,-16.096830852698776,35.14278762945984
1029.0,916.0,815.0,2017.0,2236.0,1438.0,-16.096936182446502,35.14129348202465
1043.0,932.0,866.0,1999.0,2323.0,1523.0,-16.096935245876292,35.141386926873864
1060.0,965.0,994.0,1961.0,2323.0,1523.0,-16.096934309265286,35.141480371716895
1068.0,965.0,1064.0,1913.0,2593.0,1805.0,-16.096933372613478,35.141573816553766
1083.0,985.0,1098.0,1957.0,2593.0,1805.0,-16.09693243592087,35.14166726138446
1099.0,996.0,1134.0,1975.0,2665.0,1820.0,-16.096931499187466,35.141760706209
1063.0,967.0,1114.0,1977.0,2665.0,1820.0,-16.09693056241326,35.14185415102735
