B2,B3,B4,B8,B11,B12,latitude,longitude
982.0,866.0,1035.0,1254.0,2000.0,1789.0,-13.558596564781363,32.85207103011844
973.0,875.0,1012.0,1266.0,1860.0,1711.0,-13.558596619496246,32.852163456623565
968.0,846.0,980.0,1188.0,1860.0,1711.0,-13.558596674176934,32.85225588312911
971.0,849.0,973.0,1160.0,1765.0,1637.0,-13.558596728823424,32.85234830963507
987.0,842.0,968.0,1179.0,1765.0,1637.0,-13.55859678343572,32.852440736141425
980.0,834.0,968.0,1152.0,1752.0,1629.0,-13.558596838013818,32.85253316264819
984.0,827.0,941.0,1121.0,1752.0,1629.0,-13.55859689255772,32.85262558915536
979.0,824.0,936.0,1141.0,1703.0,1628.0,-13.558596947067425,32.852718015662944
985.0,843.0,982.0,1174.0,1703.0,1628.0,-13.558597001542934,32.85281044217093
964.0,838.0,961.0,1138.0,1656.0,1605.0,-13.558597055984245,32.85290286867933
968.0,820.0,920.0,1095.0,1656.0,1605.0,-13.558597110391363,32.85299529518812
980.0,834.0,919.0,1104.0,1684.0,1564.0,-13.558597164764281,32.853087721697335
969.0,835.0,940.0,1128.0,1684.0,1564.0,-13.558597219103003,32.853180148206945
982.0,824.0,939.0,1136.0,1713.0,1574.0,-13.55859727340753,32.85327257471696
976.0,823.0,922.0,1103.0,1713.0,1574.0,-13.55859732767786,32.85336500122738
966.0,827.0,931.0,1112.0,1805.0,1655.0,-13.558597381913994,32.853457427738206
973.0,853.0,951.0,1162.0,1805.0,1655.0,-13.558597436115932,32.85354985424944
1006.0,889.0,989.0,1231.0,1858.0,1668.0,-13.558597490283674,32.85364228076107
1003.0,881.0,1006.0,1258.0,1858.0,1668.0,-13.558597544417216,32.85373470727311
986.0,871.0,1003.0,1243.0,1817.0,1664.0,-13.558597598516565,32.85382713378556
979.0,854.0,1003.0,1222.0,1817.0,1664.0,-13.558597652581717,32.8539195602984
973.0,845.0,935.0,1187.0,1778.0,1665.0,-13.558597706612671,32.85401198681165
974.0,852.0,1006.0,1234.0,1778.0,1665.0,-13.55859776060943,32.8541044133253
990.0,849.0,987.0,1239.0,1714.0,1644.0,-13.558597814571991,32.85419683983936
972.0,821.0,954.0,1179.0,1714.0,1644.0,-13.558597868500359,32.85428926635382
975.0,841.0,921.0,1136.0,1663.0,1602.0,-13.558597922394528,32.85438169286868
989.0,837.0,908.0,1119.0,1663.0,1602.0,-13.5585979762545,32.854474119383944
971.0,811.0,883.0,1051.0,1660.0,1603.0,-13.558598030080276,32.85456654589961
955.0,803.0,868.0,1062.0,1660.0,1603.0,-13.558598083871857,32.85465897241568
970.0,823.0,909.0,1154.0,2005.0,1721.0,-13.55859813762924,32.854751398932144
1002.0,895.0,1070.0,1377.0,2005.0,1721.0,-13.558598191352429,32.85484382544902
1026.0,943.0,1133.0,1659.0,2112.0,1571.0,-13.558598245041416,32.854936251966286
959.0,870.0,935.0,1790.0,2112.0,1571.0,-13.558598298696213,32.855028678483954
922.0,854.0,819.0,1921.0,2052.0,1292.0,-13.55859835231681,32.85512110500202
978.0,900.0,972.0,1944.0,2052.0,1292.0,-13.55859840590321,32.85521353152049
948.0,884.0,1026.0,1650.0,2181.0,1626.0,-13.558598459455416,32.85530595803936
975.0,879.0,1026.0,1561.0,2181.0,1626.0,-13.558598512973424,32.855398384558626
994.0,905.0,1097.0,1654.0,2284.0,1791.0,-13.558598566457235,32.8554908110783
1004.0,907.0,1068.0,1617.0,2284.0,1791.0,-13.558598619906851,32.85558323759837
997.0,904.0,1070.0,1641.0,2284.0,1787.0,-13.55859867332227,32.855675664118834
992.0,918.0,1057.0,1628.0,2284.0,1787.0,-13.558598726703492,32.8557680906397
996.0,911.0,1040.0,1689.0,2336.0,1814.0,-13.55859878005052,32.85586051716096
999.0,910.0,1119.0,1696.0,2336.0,1814.0,-13.55859883336335,32.85595294368262
994.0,910.0,1176.0,1618.0,2402.0,1997.0,-13.558598886641981,32.856045370204676
1007.0,933.0,1202.0,1660.0,2402.0,1997.0,-13.558598939886418,32.85613779672714
1003.0,953.0,1225.0,1697.0,2489.0,2117.0,-13.558598993096659,32.856230223249995
1001.0,940.0,1247.0,1686.0,2489.0,2117.0,-13.558599046272702,32.85632264977324
1009.0,956.0,1228.0,1698.0,2323.0,2000.0,-13.558599099414549,32.856415076296884
997.0,934.0,1209.0,1614.0,2323.0,2000.0,-13.5585991525222,32.856507502820925
981.0,853.0,965.0,1333.0,1903.0,1573.0,-13.558599205595653,32.856599929345364
947.0,813.0,823.0,1283.0,1903.0,1573.0,-13.558599258634914,32.85669235587021
