B2,B3,B4,B8,B11,B12,longitude,latitude
789.0,673.0,577.0,1653.0,1543.0,847.0,33.416378950588935,-9.918272491230267
782.0,692.0,585.0,1542.0,1543.0,847.0,33.4164701700772,-9.918272378005238
777.0,640.0,533.0,1494.0,1380.0,712.0,33.416561389564365,-9.918272264755409
761.0,633.0,529.0,1374.0,1380.0,712.0,33.416652609050445,-9.918272151480782
741.0,587.0,473.0,1262.0,1103.0,552.0,33.41674382853543,-9.91827203818135
731.0,577.0,437.0,1171.0,1103.0,552.0,33.41683504801932,-9.91827192485712
716.0,555.0,401.0,1139.0,1021.0,495.0,33.41692626750211,-9.918271811508088
720.0,592.0,407.0,1333.0,1021.0,495.0,33.41701748698381,-9.918271698134255
734.0,580.0,436.0,1176.0,1015.0,508.0,33.41710870646442,-9.918271584735622
729.0,594.0,443.0,1139.0,1015.0,508.0,33.417199925943926,-9.91827147131219
732.0,552.0,424.0,1098.0,993.0,485.0,33.41729114542234,-9.918271357863956
719.0,581.0,444.0,1063.0,993.0,485.0,33.41738236489966,-9.918271244390919
730.0,566.0,407.0,1101.0,957.0,495.0,33.41747358437588,-9.918271130893086
721.0,570.0,440.0,1101.0,957.0,495.0,33.41756480385101,-9.918271017370449
705.0,559.0,413.0,1079.0,857.0,410.0,33.41765602332503,-9.91827090382301
715.0,555.0,403.0,1085.0,857.0,410.0,33.417747242797965,-9.918270790250775
728.0,587.0,466.0,1234.0,901.0,430.0,33.4178384622698,-9.918270676653735
730.0,578.0,444.0,1227.0,901.0,430.0,33.41792968174053,-9.918270563031896
706.0,563.0,392.0,1372.0,989.0,493.0,33.41802090121018,-9.918270449385258
701.0,570.0,394.0,1293.0,989.0,493.0,33.41811212067872,-9.918270335713816
722.0,587.0,419.0,1124.0,1030.0,497.0,33.418203340146164,-9.918270222017576
710.0,537.0,403.0,1124.0,1030.0,497.0,33.418294559612505,-9.918270108296532
731.0,586.0,428.0,1329.0,1205.0,620.0,33.41838577907775,-9.918269994550691
756.0,608.0,467.0,1333.0,1205.0,620.0,33.418476998541905,-9.918269880780048
732.0,601.0,466.0,1334.0,1341.0,658.0,33.41856821800496,-9.918269766984604
757.0,621.0,475.0,1390.0,1341.0,658.0,33.418659437466914,-9.91826965316436
761.0,627.0,472.0,1436.0,1363.0,698.0,33.418750656927756,-9.918269539319315
741.0,644.0,482.0,1452.0,1363.0,698.0,33.41884187638751,-9.91826942544947
773.0,640.0,483.0,1472.0,1449.0,757.0,33.418933095846164,-9.918269311554823
770.0,682.0,518.0,1477.0,1449.0,757.0,33.419024315303716,-9.918269197635375
795.0,680.0,523.0,1363.0,1580.0,858.0,33.41911553476017,-9.918269083691127
781.0,650.0,504.0,1358.0,1580.0,858.0,33.419206754215516,-9.91826896972208
790.0,680.0,552.0,1479.0,1550.0,829.0,33.419297973669764,-9.91826885572823
782.0,655.0,528.0,1318.0,1550.0,829.0,33.41938919312292,-9.918268741709582
779.0,638.0,510.0,1404.0,1449.0,743.0,33.41948041257496,-9.918268627666132
794.0,673.0,548.0,1523.0,1449.0,743.0,33.419571632025914,-9.91826851359788
783.0,656.0,533.0,1479.0,1516.0,828.0,33.419662851475756,-9.918268399504829
799.0,661.0,562.0,1365.0,1516.0,828.0,33.4197540709245,-9.918268285386977
803.0,673.0,619.0,1257.0,1478.0,837.0,33.41984529037214,-9.918268171244325
756.0,643.0,543.0,1140.0,1478.0,837.0,33.41993650981867,-9.91826805707687
755.0,633.0,560.0,1265.0,1215.0,677.0,33.420027729264106,-9.918267942884617
739.0,609.0,469.0,1189.0,1215.0,677.0,33.420118948708435,-9.918267828667563
749.0,609.0,474.0,1415.0,1202.0,615.0,33.42021016815167,-9.918267714425708
762.0,643.0,547.0,1347.0,1202.0,615.0,33.42030138759379,-9.918267600159052
739.0,606.0,495.0,1257.0,1234.0,684.0,33.42039260703481,-9.918267485867593
755.0,636.0,483.0,1314.0,1234.0,684.0,33.42048382647473,-9.918267371551337
