,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
9889756,-13.96266045,33.7878362,652.2372,0.8338,"POLYGON((33.7879285764669 -13.962469411885, 33.7877941366111 -13.9624532152589, 33.7877438300512 -13.96285148018, 33.7878782701379 -13.9628676768214, 33.7879285764669 -13.962469411885))",5GRM2QPQ+W4PH
9895958,-13.963241,33.78926803,68.2509,0.7773,"POLYGON((33.7893050292798 -13.9632796327608, 33.7893118282545 -13.9632098740691, 33.7892310213656 -13.9632023623925, 33.7892242223666 -13.9632721210833, 33.7893050292798 -13.9632796327608))",5GRM2QPQ+PP28
9896052,-13.96747852,33.78714216,13.4889,0.6027,"POLYGON((33.787156574204 -13.9674972537612, 33.7871613443049 -13.9674644588499, 33.7871277428594 -13.9674597975644, 33.7871229727534 -13.9674925924752, 33.787156574204 -13.9674972537612))",5GRM2QMP+2V2W
9898269,-13.96526131,33.78657393,27.5571,0.6252,"POLYGON((33.7866072074759 -13.9652472403677, 33.786546168942 -13.9652385359655, 33.7865406605388 -13.965275376452, 33.7866016990823 -13.9652840808552, 33.7866072074759 -13.9652472403677))",5GRM2QMP+VJWF
9913389,-13.96347334,33.7784219,219.2997,0.8314,"POLYGON((33.7785151636578 -13.9634467417377, 33.7784072779803 -13.9633795335468, 33.7783286301016 -13.9634999456377, 33.778436515816 -13.963567153861, 33.7785151636578 -13.9634467417377))",5GRM2QPH+J974
9914841,-13.96526345,33.79412876,45.0007,0.6264,"POLYGON((33.7941343186451 -13.9653218281033, 33.7941558876697 -13.9652111551958, 33.7941231850295 -13.9652050765471, 33.7941016159895 -13.9653157494526, 33.7941343186451 -13.9653218281033))",5GRM2QMV+VMRC
9924865,-13.96626804,33.7962155,296.2305,0.8186,"POLYGON((33.7963346093174 -13.9662227131455, 33.7961041103457 -13.9662067924063, 33.7960963920615 -13.9663133672323, 33.7963268911393 -13.966329287973, 33.7963346093174 -13.9662227131455))",5GRM2QMW+FFW9
9938377,-13.96599837,33.79429218,33.718,0.7403,"POLYGON((33.794297615147 -13.9660525155537, 33.7943130784547 -13.9659479351654, 33.7942867570702 -13.9659442232924, 33.7942712937492 -13.9660488036793, 33.794297615147 -13.9660525155537))",5GRM2QMV+JP33
9942619,-13.9638603,33.79592521,8.6285,0.6607,"POLYGON((33.7959396819303 -13.9638726061217, 33.7959378887346 -13.9638462221957, 33.795910752765 -13.9638479812265, 33.7959125459578 -13.9638743651529, 33.7959396819303 -13.9638726061217))",5GRM2QPW+F93G
9951973,-13.96528345,33.78693234,34.2763,0.6106,"POLYGON((33.7869637199516 -13.9652619719657, 33.7869130945486 -13.9652511023853, 33.7869009775713 -13.9653049274529, 33.7869516029858 -13.9653157970352, 33.7869637199516 -13.9652619719657))",5GRM2QMP+VQMQ
9967264,-13.96334923,33.79054885,193.9612,0.8703,"POLYGON((33.7906303306358 -13.9633052337542, 33.7904816067863 -13.9632863427082, 33.7904673724049 -13.9633932246556, 33.790616096323 -13.9634121157065, 33.7906303306358 -13.9633052337542))",5GRM2QPR+M674
