,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
9877468,-14.1957517,33.76583293,18.5381,0.6176,"POLYGON((33.7658403819587 -14.1957185951372, 33.7658162645865 -14.1957219604592, 33.7658254772747 -14.195784800623, 33.7658495946535 -14.1957814353004, 33.7658403819587 -14.1957185951372))",5GQMRQ38+M8WW
9892333,-14.20366038,33.77564433,35.2964,0.7244,"POLYGON((33.7756708 -14.2036887, 33.7756674 -14.2036294, 33.7756179 -14.2036321, 33.7756212 -14.2036913, 33.7756708 -14.2036887))",5GQMQQWG+G7JG
9897130,-14.20107654,33.77469732,34.5008,0.8312,"POLYGON((33.7747238883575 -14.2011041479181, 33.774719630848 -14.2010455619604, 33.774670747031 -14.2010489430234, 33.7746750045282 -14.2011075289826, 33.7747238883575 -14.2011041479181))",5GQMQQXF+HV8V
9898310,-14.20377753,33.77100948,17.0392,0.6166,"POLYGON((33.7710252300384 -14.2038009640844, 33.7710233478562 -14.2037530135724, 33.7709937451553 -14.2037541194709, 33.7709956273311 -14.2038020699834, 33.7710252300384 -14.2038009640844))",5GQMQQWC+FCJV
9899638,-14.20447545,33.77566486,50.1682,0.8346,"POLYGON((33.7756978429846 -14.2045052879033, 33.7756944869675 -14.2044370742215, 33.7756424961026 -14.2044395086228, 33.7756443231391 -14.204476644754, 33.7756240723692 -14.2044775929658, 33.7756256013316 -14.2045086705182, 33.7756978429846 -14.2045052879033))",5GQMQQWG+673V
9913640,-14.19566963,33.75910654,19.433,0.7736,"POLYGON((33.7591350855065 -14.195662251445, 33.7590906888913 -14.1956453261316, 33.7590780003549 -14.195677005191, 33.7591223969754 -14.1956939305068, 33.7591350855065 -14.195662251445))",5GQMRQ35+PJQ7
9927719,-14.19675797,33.75756166,16.2669,0.6911,"POLYGON((33.7575859911113 -14.196747847124, 33.757553993503 -14.1967332582871, 33.7575373189817 -14.196768067456, 33.7575693165942 -14.1967826562949, 33.7575859911113 -14.196747847124))",5GQMRQ35+72VQ
9930161,-14.19550296,33.75922838,8.3063,0.6031,"POLYGON((33.7592389655621 -14.1955185475354, 33.7592411558948 -14.1954890270815, 33.7592178044709 -14.1954873779735, 33.7592156141352 -14.1955168984274, 33.7592389655621 -14.1955185475354))",5GQMRQ35+QMXV
9933523,-14.20283618,33.77199316,24.0287,0.703,"POLYGON((33.7720234167824 -14.2028490701134, 33.7720156943307 -14.2028126455703, 33.771962916118 -14.2028232952223, 33.7719706385618 -14.2028597197674, 33.7720234167824 -14.2028490701134))",5GQMQQWC+VQ9H
9938168,-14.20157678,33.77141711,5.3927,0.6611,"POLYGON((33.7714316451418 -14.2015842659353, 33.7714312543022 -14.2015685887157, 33.7714025735617 -14.20156926924, 33.7714029643994 -14.2015849464596, 33.7714316451418 -14.2015842659353))",5GQMQQXC+9H7V
9947480,-14.20405502,33.77582376,153.2851,0.8315,"POLYGON((33.7758875683257 -14.2041056194455, 33.7758897155119 -14.2040071149112, 33.7757599496811 -14.204004422788, 33.7757578024385 -14.2041029273241, 33.7758875683257 -14.2041056194455))",5GQMQQWG+98GM
9948376,-14.20152012,33.77186191,29.1562,0.703,"POLYGON((33.7718827120697 -14.2015494433129, 33.7718825129659 -14.2014906766777, 33.7718411221352 -14.2014908101422, 33.7718413212278 -14.2015495767779, 33.7718827120697 -14.2015494433129))",5GQMQQXC+9PX4
9958662,-14.20391207,33.77372177,13.1977,0.7416,"POLYGON((33.7737406648041 -14.2039261474419, 33.7737350145883 -14.2038928143705, 33.7737028618598 -14.2038980014516, 33.7737085120709 -14.2039313345241, 33.7737406648041 -14.2039261474419))",5GQMQQWF+CFQC
9965904,-14.20178522,33.77005318,16.2196,0.6851,"POLYGON((33.7700748458957 -14.2017999351876, 33.7700702758699 -14.2017655905617, 33.7700315293574 -14.2017704975628, 33.7700360993776 -14.2018048421897, 33.7700748458957 -14.2017999351876))",5GQMQQXC+72MG
9973701,-14.20347124,33.77123423,52.0512,0.8212,"POLYGON((33.7712665225598 -14.2035067673641, 33.7712573612086 -14.2034294616191, 33.7712019286982 -14.203435713766, 33.7712110900312 -14.2035130195151, 33.7712665225598 -14.2035067673641))",5GQMQQWC+JF93
9981937,-14.20243084,33.77543057,10.9412,0.6229,"POLYGON((33.7754501618075 -14.2024400591447, 33.7754428637327 -14.2024133344128, 33.7754109717748 -14.2024216233239, 33.7754182698462 -14.2024483480569, 33.7754501618075 -14.2024400591447))",5GQMQQXG+25FQ
9984278,-14.19595373,33.76574919,38.1362,0.8272,"POLYGON((33.7657877135634 -14.195969110803, 33.7657770908214 -14.195923584519, 33.7657106506114 -14.1959383399454, 33.7657212733411 -14.1959838662329, 33.7657877135634 -14.195969110803))",5GQMRQ38+J79X
