,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1462,-16.91645662,35.26689493,14.4101,0.7194,"POLYGON((35.2669089298771 -16.916476754063, 35.2669152506919 -16.916442332794, 35.2668809330193 -16.9164364931705, 35.2668746121981 -16.9164709144391, 35.2669089298771 -16.916476754063))",5GMQ37M8+CQ6P
8785,-16.91774257,35.26032711,53.4565,0.7431,"POLYGON((35.2603673440419 -16.917716196755, 35.2602944504291 -16.9177078225766, 35.2602868725076 -16.9177689465179, 35.2603597661443 -16.9177773206962, 35.2603673440419 -16.917716196755))",5GMQ37J6+W447
14998,-16.92132532,35.25459053,51.1606,0.789,"POLYGON((35.2546407817496 -16.9213233434863, 35.2545655860235 -16.921283280772, 35.2545402704656 -16.9213273096882, 35.254615466206 -16.9213673724101, 35.2546407817496 -16.9213233434863))",5GMQ37H3+FR8X
15025,-16.91973759,35.26347912,28.4661,0.6398,"POLYGON((35.2634314376729 -16.9197456100901, 35.263523909986 -16.9197552536722, 35.2635268047704 -16.9197295322039, 35.2634343324701 -16.9197198886216, 35.2634314376729 -16.9197456100901))",5GMQ37J7+495F
18600,-16.91557354,35.26966828,17.393,0.7498,"POLYGON((35.2696869230603 -16.9155935665938, 35.2696848182185 -16.9155518731394, 35.2696496362167 -16.9155535190109, 35.2696517410508 -16.9155952124666, 35.2696869230603 -16.9155935665938))",5GMQ37M9+QVF3
18687,-16.91689509,35.26616965,35.8225,0.8352,"POLYGON((35.2661937982144 -16.9169255738384, 35.2661979891786 -16.9168681687311, 35.2661454956741 -16.9168646174219, 35.2661413046926 -16.91692202253, 35.2661937982144 -16.9169255738384))",5GMQ37M8+6FV3
23231,-16.91686344,35.2687163,70.7402,0.7491,"POLYGON((35.2687697 -16.9168431, 35.2686784 -16.9168219, 35.2686629 -16.9168838, 35.2687542 -16.916905, 35.2687697 -16.9168431))",5GMQ37M9+7F4H
23484,-16.92158089,35.26795441,54.4801,0.7792,"POLYGON((35.2679922530742 -16.9215510572023, 35.2679230204312 -16.9215447923219, 35.267916580776 -16.9216107334931, 35.267985813443 -16.9216169983732, 35.2679922530742 -16.9215510572023))",5GMQ37H9+958P
30009,-16.92409506,35.26840938,21.8798,0.7929,"POLYGON((35.2684236211433 -16.9241230080207, 35.2684304233694 -16.9240714163189, 35.2683951390929 -16.9240671057189, 35.268388336857 -16.9241186974206, 35.2684236211433 -16.9241230080207))",5GMQ37G9+9972
37023,-16.91941865,35.26289169,85.9713,0.8565,"POLYGON((35.2629387981887 -16.9193745361189, 35.2628745215446 -16.9193575858055, 35.2628445895112 -16.9194627621889, 35.2629088661908 -16.9194797125074, 35.2629387981887 -16.9193745361189))",5GMQ37J7+65J8
40814,-16.92228127,35.25913524,32.0465,0.6567,"POLYGON((35.2591581159931 -16.922313225466, 35.2591525053982 -16.9222461998928, 35.2591123464396 -16.9222493147888, 35.2591179570202 -16.9223163403648, 35.2591581159931 -16.922313225466))",5GMQ37H5+3MJM
45102,-16.9217556,35.25307029,14.8151,0.6556,"POLYGON((35.2530908378703 -16.9217703047798, 35.2530829996799 -16.9217342097491, 35.2530497540798 -16.9217408993195, 35.2530575922646 -16.9217769943522, 35.2530908378703 -16.9217703047798))",5GMQ37H3+76WJ
45396,-16.91637328,35.26960932,26.4496,0.7253,"POLYGON((35.269640124954 -16.9163904836691, 35.2696380717363 -16.9163530406655, 35.2695785220999 -16.9163560666247, 35.269580575306 -16.9163935096303, 35.269640124954 -16.9163904836691))",5GMQ37M9+FR53
