,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1747,-15.60494318,34.52151778,92.1402,0.852,"POLYGON((34.5215723310999 -15.604974067278, 34.5215492073659 -15.6048900579948, 34.5214632257274 -15.6049122873907, 34.5214863494305 -15.6049962966855, 34.5215723310999 -15.604974067278))",5GPP9GWC+2JC8
5638,-15.60221516,34.51667831,36.6563,0.7759,"POLYGON((34.516713285098 -15.6022351583107, 34.5166887935166 -15.6021771414833, 34.5166433457376 -15.6021951624759, 34.5166678373088 -15.6022531793086, 34.516713285098 -15.6022351583107))",5GPP9GX8+4M78
5850,-15.60692005,34.5219069,136.8624,0.8365,"POLYGON((34.5219740436739 -15.6069580671364, 34.5219321715799 -15.6068487810843, 34.5218397514857 -15.6068820400853, 34.5218816235408 -15.6069913261583, 34.5219740436739 -15.6069580671364))",5GPP9GVC+6QM2
8362,-15.60314671,34.51899151,38.6584,0.6429,"POLYGON((34.5190261283465 -15.6031650885437, 34.5190083245598 -15.6031054505812, 34.5189734314608 -15.6031152348487, 34.5189810673628 -15.6031408131145, 34.5189542166007 -15.6031483422502, 34.5189643844729 -15.6031824019529, 34.5190261283465 -15.6031650885437))",5GPP9GW9+PHX4
14621,-15.6031858,34.52126567,46.2131,0.7589,"POLYGON((34.5213103698831 -15.6031789950171, 34.5212681864135 -15.6031420134783, 34.5212209639698 -15.6031926081544, 34.521263147444 -15.6032295897025, 34.5213103698831 -15.6031789950171))",5GPP9GWC+PGCG
20851,-15.60307062,34.52048174,40.8601,0.8072,"POLYGON((34.5205110732873 -15.6031000949616, 34.5205081108957 -15.6030386283712, 34.5204524116544 -15.6030411498244, 34.5204553740295 -15.603102616417, 34.5205110732873 -15.6031000949616))",5GPP9GWC+Q5H3
21557,-15.60318895,34.52421467,78.403,0.8204,"POLYGON((34.5242019201331 -15.6032156388974, 34.5242039495181 -15.603235575014, 34.5242588136294 -15.6032303292134, 34.5242502068715 -15.6031457789782, 34.5241662246546 -15.6031538088836, 34.524172801997 -15.6032184230055, 34.5242019201331 -15.6032156388974))",5GPP9GWF+PMGH
23742,-15.60186727,34.51932038,101.2297,0.8375,"POLYGON((34.5193222971263 -15.6017869873933, 34.5192689393971 -15.6018043146729, 34.5193184572641 -15.6019475445894, 34.5193718150232 -15.6019302172933, 34.5193222971263 -15.6017869873933))",5GPP9GX9+7P47
24668,-15.59852014,34.52184152,46.7663,0.7854,"POLYGON((34.5218818058363 -15.5985399831821, 34.5218670513962 -15.598483990028, 34.5218012123271 -15.598500286378, 34.5218159667513 -15.5985562795378, 34.5218818058363 -15.5985399831821))",5GPPCG2C+HPW5
29837,-15.60521415,34.51966485,38.0791,0.6223,"POLYGON((34.519704879369 -15.6052282983224, 34.519694831475 -15.605184804825, 34.5196248215069 -15.6051999963272, 34.5196348693876 -15.6052434898291, 34.519704879369 -15.6052282983224))",5GPP9GV9+WV7F
33689,-15.6069276,34.52214656,125.0593,0.8074,"POLYGON((34.5222044782189 -15.6069738067667, 34.5222080991425 -15.6068860295104, 34.5220886497012 -15.6068814013556, 34.5220850287264 -15.6069691786143, 34.5222044782189 -15.6069738067667))",5GPP9GVC+6VCW
36129,-15.59909872,34.51948999,10.8887,0.7562,"POLYGON((34.5195070806661 -15.5991117260507, 34.5195039417037 -15.5990825937388, 34.5194728947355 -15.5990857360319, 34.5194760336936 -15.5991148683447, 34.5195070806661 -15.5991117260507))",5GPPCG29+9Q94
36798,-15.59836957,34.51760017,74.8816,0.853,"POLYGON((34.5176414503492 -15.5984088936535, 34.5176291149534 -15.5983209897853, 34.5175588833526 -15.5983302473525, 34.5175712187199 -15.5984181512272, 34.5176414503492 -15.5984088936535))",5GPPCG29+M256
36814,-15.60364061,34.52338132,60.2158,0.7909,"POLYGON((34.5234309406974 -15.6036560537606, 34.5234104835431 -15.6035987407819, 34.5233316874454 -15.6036251584142, 34.5233521445815 -15.6036824714021, 34.5234309406974 -15.6036560537606))",5GPP9GWF+G9R6
37781,-15.60211543,34.52568601,51.9202,0.7836,"POLYGON((34.5257320787608 -15.6021263939759, 34.5256966442965 -15.6020706359856, 34.525639956709 -15.6021044744269, 34.5256753911664 -15.6021602324266, 34.5257320787608 -15.6021263939759))",5GPP9GXG+5739
41394,-15.60355265,34.51840195,13.5891,0.6652,"POLYGON((34.5184038721911 -15.6035271666002, 34.518380707816 -15.6035375279138, 34.5184000470598 -15.603578138837, 34.5184232114381 -15.6035677775211, 34.5184038721911 -15.6035271666002))",5GPP9GW9+H9CX
42395,-15.60065803,34.52480942,19.7005,0.7194,"POLYGON((34.5248291631337 -15.6006797323355, 34.5248251463844 -15.6006334256553, 34.5247896727524 -15.6006363159774, 34.524793689494 -15.6006826226588, 34.5248291631337 -15.6006797323355))",5GPP9GXF+PWMQ
44667,-15.60578841,34.52111653,45.1667,0.763,"POLYGON((34.5211546289785 -15.6058109482173, 34.5211464951886 -15.6057563577901, 34.5210784369489 -15.605765882344, 34.5210865707215 -15.6058204727752, 34.5211546289785 -15.6058109482173))",5GPP9GVC+MCQG
47361,-15.59913002,34.51968596,101.7347,0.8281,"POLYGON((34.5197470724909 -15.5991591057388, 34.5196955739009 -15.599064704147, 34.5196248506421 -15.5991009446851, 34.519676349212 -15.5991953462953, 34.5197470724909 -15.5991591057388))",5GPPCG29+8VVQ
49144,-15.60452195,34.52207192,7.0316,0.6312,"POLYGON((34.522088078989 -15.6045303615869, 34.5220866541953 -15.6045113526193, 34.5220557549987 -15.6045135279918, 34.5220571797895 -15.6045325369596, 34.522088078989 -15.6045303615869))",5GPP9GWC+5RW3
53953,-15.6047991,34.5231331,11.7082,0.7269,"POLYGON((34.5231547604991 -15.604806812943, 34.5231472763152 -15.6047814429028, 34.5231114515491 -15.6047913694623, 34.5231189357292 -15.6048167395041, 34.5231547604991 -15.604806812943))",5GPP9GWF+37J3
56833,-15.60426199,34.52395408,45.1649,0.8094,"POLYGON((34.5239968467218 -15.6042732512011, 34.5239692038817 -15.604221633583, 34.5239113210198 -15.604250749408, 34.5239389638507 -15.6043023670341, 34.5239968467218 -15.6042732512011))",5GPP9GWF+7HWG
56838,-15.60147708,34.52581368,35.9973,0.7875,"POLYGON((34.5258527146492 -15.6014664422575, 34.5257909189514 -15.6014445564048, 34.525774648225 -15.6014877091095, 34.5258364439351 -15.6015095949653, 34.5258527146492 -15.6014664422575))",5GPP9GXG+C84R
58014,-15.60203194,34.52064979,33.605,0.8012,"POLYGON((34.5206831272935 -15.6020499776151, 34.520669940836 -15.6020005180427, 34.5206164576915 -15.6020139116815, 34.5206296441376 -15.6020633712579, 34.5206831272935 -15.6020499776151))",5GPP9GXC+57JQ
60628,-15.60224479,34.52677538,49.6249,0.7872,"POLYGON((34.5268136299757 -15.6022714020884, 34.5268113542555 -15.6022153420808, 34.5267371363391 -15.6022181720102, 34.5267394120394 -15.6022742320203, 34.5268136299757 -15.6022714020884))",5GPP9GXG+4P29
60749,-15.60273246,34.51876851,12.835,0.644,"POLYGON((34.518788239015 -15.6027451626001, 34.5187840600476 -15.6027151624783, 34.5187487772558 -15.6027197789451, 34.5187529562184 -15.602749779068, 34.518788239015 -15.6027451626001))",5GPP9GW9+WG2P
64906,-15.60210379,34.51932849,72.9419,0.6592,"POLYGON((34.5193163292489 -15.6020467808106, 34.5192711018716 -15.6020865937302, 34.5193406476908 -15.6021608019736, 34.5193858750671 -15.6021209890398, 34.5193163292489 -15.6020467808106))",5GPP9GX9+5P4W
66209,-15.60316172,34.52115806,19.9003,0.7557,"POLYGON((34.5211738762357 -15.6031857238258, 34.5211820214867 -15.603145249944, 34.5211422468989 -15.6031377313818, 34.5211341016401 -15.6031782052633, 34.5211738762357 -15.6031857238258))",5GPP9GWC+PFMC
74551,-15.59881642,34.5178097,53.1413,0.8021,"POLYGON((34.5178526980089 -15.598837093273, 34.5178324780535 -15.5987754806371, 34.5177667068349 -15.5987957557804, 34.5177869267737 -15.5988573684239, 34.5178526980089 -15.598837093273))",5GPPCG29+F4F9
75290,-15.60244964,34.52442475,18.9125,0.7764,"POLYGON((34.5244514189817 -15.602463121356, 34.5244486244677 -15.6024319192374, 34.5243981073741 -15.6024361689762, 34.5244009018805 -15.6024673710961, 34.5244514189817 -15.602463121356))",5GPP9GXF+2QF4
77002,-15.60225835,34.52307419,23.3335,0.7267,"POLYGON((34.5231006690066 -15.6022759839169, 34.5230866473471 -15.602229651822, 34.5230477078549 -15.6022407208818, 34.5230617295069 -15.6022870529798, 34.5231006690066 -15.6022759839169))",5GPP9GXF+36WM
80852,-15.60350381,34.5210808,79.1205,0.7296,"POLYGON((34.5211308899624 -15.6035417391948, 34.5210874365796 -15.6034425370676, 34.5210306897546 -15.6034658846439, 34.5210741431167 -15.6035650867832, 34.5211308899624 -15.6035417391948))",5GPP9GWC+HCWW
80891,-15.60676779,34.51971844,50.9242,0.7436,"POLYGON((34.5197515876151 -15.6068021342374, 34.5197400481599 -15.606725673384, 34.5196852917372 -15.6067334352222, 34.519696831173 -15.6068098960804, 34.5197515876151 -15.6068021342374))",5GPP9GV9+7VW9
82463,-15.59914971,34.52487134,16.9792,0.6222,"POLYGON((34.5248822718378 -15.5991741391398, 34.5248934372102 -15.5991338969115, 34.5248603971461 -15.5991252860093, 34.5248492317675 -15.5991655282364, 34.5248822718378 -15.5991741391398))",5GPPCG2F+8WX5
85625,-15.59962534,34.51809646,77.8568,0.7405,"POLYGON((34.5181465591982 -15.5996538552701, 34.5181277985057 -15.5995779341194, 34.518046358044 -15.5995968375395, 34.5180651187114 -15.5996727586992, 34.5181465591982 -15.5996538552701))",5GPPCG29+46XR
87477,-15.59938229,34.51987536,50.97,0.8318,"POLYGON((34.5199181156498 -15.599403872333, 34.5199098804456 -15.5993496686415, 34.519832594968 -15.599360698204, 34.5198408301529 -15.5994149019002, 34.5199181156498 -15.599403872333))",5GPPCG29+6XRJ
87571,-15.60175895,34.51821522,148.8379,0.808,"POLYGON((34.5183053530882 -15.6017585283244, 34.5182697157279 -15.6016893632302, 34.518125082317 -15.6017593622782, 34.5181607196452 -15.6018285273987, 34.5183053530882 -15.6017585283244))",5GPP9GX9+77WQ
88394,-15.60341142,34.52228938,39.4839,0.7941,"POLYGON((34.5223334959665 -15.6034194650568, 34.5223197765551 -15.6033793848972, 34.5222452549256 -15.6034033448701, 34.5222589743249 -15.6034434250353, 34.5223334959665 -15.6034194650568))",5GPP9GWC+JWMF
88805,-15.60196205,34.52404637,29.1336,0.7162,"POLYGON((34.5240743618651 -15.601983572826, 34.5240640812241 -15.6019319758863, 34.5240183721314 -15.6019405305506, 34.5240286527619 -15.6019921274935, 34.5240743618651 -15.601983572826))",5GPP9GXF+6J7F
89884,-15.60319423,34.52178627,32.0556,0.6089,"POLYGON((34.5218015192934 -15.6032298556369, 34.521811175302 -15.6031641571846, 34.5217710182777 -15.6031586134366, 34.521761362257 -15.6032243118884, 34.5218015192934 -15.6032298556369))",5GPP9GWC+PPF6
102466,-15.60357229,34.51847479,9.2732,0.6084,"POLYGON((34.5184831032104 -15.6035543860428, 34.5184550153871 -15.6035680597912, 34.5184664891365 -15.6035901975357, 34.5184945769616 -15.6035765237855, 34.5184831032104 -15.6035543860428))",5GPP9GW9+H9H2
102846,-15.59857274,34.52158618,37.0345,0.6852,"POLYGON((34.5216264048986 -15.5985742981922, 34.5215933790369 -15.5985343651648, 34.5215459658916 -15.5985711983708, 34.5215789917516 -15.5986111314053, 34.5216264048986 -15.5985742981922))",5GPPCG2C+HJG5
102965,-15.60223847,34.5185119,169.8639,0.8123,"POLYGON((34.5185940576104 -15.6022631867198, 34.5185459995926 -15.6021619232058, 34.5184297376162 -15.6022137498971, 34.5184777955938 -15.6023150134396, 34.5185940576104 -15.6022631867198))",5GPP9GX9+4C2F
103970,-15.60540455,34.51977977,47.1179,0.6412,"POLYGON((34.5198316810482 -15.6054139993684, 34.5198222856911 -15.605374180885, 34.5197278568701 -15.6053951086278, 34.5197372522109 -15.6054349271155, 34.5198316810482 -15.6054139993684))",5GPP9GV9+RWJX
105230,-15.6034329,34.52255586,47.7479,0.8041,"POLYGON((34.5225910620013 -15.6034635033895, 34.522571714456 -15.6033897182694, 34.5225206707131 -15.6034022900689, 34.5225400182421 -15.603476075195, 34.5225910620013 -15.6034635033895))",5GPP9GWF+J2FQ
105355,-15.60286025,34.52338997,68.2269,0.7189,"POLYGON((34.5234464713729 -15.6028710807471, 34.5233743057111 -15.6028065420218, 34.5233334805075 -15.6028494204628, 34.5234056461732 -15.6029139592015, 34.5234464713729 -15.6028710807471))",5GPP9GWF+V92F
110846,-15.60198135,34.52030323,8.2981,0.6002,"POLYGON((34.5203191266843 -15.6019922532454, 34.5203189645225 -15.60197023625, 34.5202873176361 -15.6019704551877, 34.5202874797944 -15.6019924721835, 34.5203191266843 -15.6019922532454))",5GPP9GXC+643P
113356,-15.60300278,34.52072098,60.7181,0.817,"POLYGON((34.5207721775484 -15.6029956637018, 34.5207230193478 -15.602952704032, 34.5206697953456 -15.6030099101399, 34.520718953551 -15.6030528698212, 34.5207721775484 -15.6029956637018))",5GPP9GWC+Q7XR
118888,-15.60245423,34.52404713,61.9389,0.8062,"POLYGON((34.5240920553816 -15.6024213212618, 34.5240423502058 -15.602399842267, 34.52400219343 -15.6024871290855, 34.5240518986244 -15.6025086080877, 34.5240920553816 -15.6024213212618))",5GPP9GXF+2J7W
123415,-15.60299521,34.5169448,15.9217,0.6042,"POLYGON((34.5169728629955 -15.6030055946086, 34.516971094024 -15.6029811243277, 34.5169167241727 -15.6029848161364, 34.5169184931381 -15.6030092864183, 34.5169728629955 -15.6030055946086))",5GPP9GW8+RQ42
123559,-15.59838257,34.51807604,51.6162,0.8177,"POLYGON((34.518116981276 -15.5984064237713, 34.5181083480569 -15.5983484614591, 34.5180350978731 -15.5983587098331, 34.5180437310726 -15.5984166721499, 34.518116981276 -15.5984064237713))",5GPPCG29+J6WM
124804,-15.60639434,34.52316294,49.487,0.777,"POLYGON((34.5231950554957 -15.6064268999016, 34.523192305047 -15.606359413567, 34.5231308241125 -15.6063617670541, 34.5231335745417 -15.6064292533912, 34.5231950554957 -15.6064268999016))",5GPP9GVF+C7V6
127970,-15.59824933,34.52445514,25.1022,0.6792,"POLYGON((34.5244784744508 -15.598272756483, 34.5244721836839 -15.5982212532467, 34.5244318230455 -15.5982258839502, 34.5244381138022 -15.5982773871887, 34.5244784744508 -15.598272756483))",5GPPCG2F+PQ44
130296,-15.5986007,34.5194095,36.6893,0.7587,"POLYGON((34.5194394540333 -15.5986269832279, 34.5194427426218 -15.5985784402298, 34.5193795494425 -15.5985744188694, 34.5193762608391 -15.5986229618678, 34.5194394540333 -15.5986269832279))",5GPPCG29+HQ3R
132303,-15.59864576,34.51756626,19.4315,0.6039,"POLYGON((34.5175903216177 -15.5986614690511, 34.5175824510133 -15.5986224193791, 34.5175422024125 -15.5986300394648, 34.5175500730099 -15.5986690891389, 34.5175903216177 -15.5986614690511))",5GPPCG29+G2W2
141368,-15.60117224,34.52288443,45.0405,0.8329,"POLYGON((34.5229275453109 -15.6011594062124, 34.5228838975581 -15.6011285383329, 34.5228413256829 -15.6011850822092, 34.5228849734436 -15.6012159500957, 34.5229275453109 -15.6011594062124))",5GPP9GXF+G5J3
149233,-15.60284045,34.52211478,11.0389,0.6773,"POLYGON((34.5221269854029 -15.6028601639169, 34.5221255968382 -15.6028199953315, 34.5221025459319 -15.6028207437895, 34.5221039344921 -15.6028609123756, 34.5221269854029 -15.6028601639169))",5GPP9GWC+VR98
149435,-15.60147475,34.52569785,73.1467,0.7602,"POLYGON((34.5257458098818 -15.6014436152295, 34.5256821420496 -15.6014209136035, 34.5256498863323 -15.6015058856586, 34.5257135541879 -15.6015285872916, 34.5257458098818 -15.6014436152295))",5GPP9GXG+C783
155027,-15.59862287,34.52471148,21.3043,0.6643,"POLYGON((34.5247421928666 -15.5986282816104, 34.5247265950458 -15.5985964116426, 34.5246807729689 -15.5986174773313, 34.5246963707848 -15.5986493473028, 34.5247421928666 -15.5986282816104))",5GPPCG2F+HV45
155804,-15.6025862,34.51970307,10.8378,0.6809,"POLYGON((34.5197197125277 -15.6025996952447, 34.5197157314257 -15.6025691195355, 34.5196864333024 -15.6025727027106, 34.5196904144003 -15.6026032784207, 34.5197197125277 -15.6025996952447))",5GPP9GW9+XV8F
162470,-15.59830526,34.5214877,44.4007,0.7646,"POLYGON((34.5215307387348 -15.5982970066998, 34.5214811278601 -15.5982632054808, 34.5214446466352 -15.5983135015333, 34.5214942575178 -15.5983473027598, 34.5215307387348 -15.5982970066998))",5GPPCG2C+MHHP
163245,-15.60503318,34.52309995,37.6084,0.813,"POLYGON((34.5231395202721 -15.6050409625736, 34.5231093688285 -15.6049951257441, 34.5230603803201 -15.6050253934072, 34.5230905317583 -15.6050712302435, 34.5231395202721 -15.6050409625736))",5GPP9GVF+X6QJ
164850,-15.60218566,34.5155459,34.2045,0.8275,"POLYGON((34.5155671250154 -15.6022172769471, 34.5155733696266 -15.6021589536613, 34.515524647775 -15.6021540537166, 34.51551840315 -15.6022123770023, 34.5155671250154 -15.6022172769471))",5GPP9GX8+46FF
