...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
599,1047,945,1057,600,POINT (35.31708363252556 -15.381755031355622),19,89018,-15.38170275,35.31700555,369.3707,0.8638,5GPQJ898+8R6R,1
405,1082,998,1048,406,POINT (35.31764127811107 -15.381658878526377),667,3655351,-15.38166095,35.31764073,13.9597,0.7183,5GPQJ899+83JG,1
470,1105,999,905,471,POINT (35.323693249190455 -15.381595760980783),1741,9450604,-15.38161629,35.32372144,34.7495,0.7045,5GPQJ89F+9F56,1
479,1297,1212,1192,480,POINT (35.32453121221823 -15.381587008681906),1644,8900496,-15.38162106,35.32456479,310.032,0.8516,5GPQJ89F+9R42,1
679,1160,1038,950,680,POINT (35.32453221472714 -15.381677343079192),1644,8900496,-15.38162106,35.32456479,310.032,0.8516,5GPQJ89F+9R42,1
680,1338,1299,1178,681,POINT (35.32462532173725 -15.381676370401165),1644,8900496,-15.38162106,35.32456479,310.032,0.8516,5GPQJ89F+9R42,1
482,1191,1116,1232,483,POINT (35.32481053310853 -15.381584090549149),811,4394072,-15.38156163,35.32482158,52.5529,0.6939,5GPQJ89F+9WGF,1
484,1108,1001,934,485,POINT (35.32499674700234 -15.381582144932915),1176,6498938,-15.38160085,35.32502368,117.4026,0.7483,5GPQJ89G+922X,1
489,1096,1020,1054,490,POINT (35.32546228162117 -15.381577280211983),1186,6527861,-15.38160868,35.32551574,135.3645,0.7404,5GPQJ89G+962P,1
490,1109,956,938,491,POINT (35.325555388525096 -15.381576307151164),1186,6527861,-15.38160868,35.32551574,135.3645,0.7404,5GPQJ89G+962P,1
509,1107,943,1018,510,POINT (35.32732441844307 -15.381557811608856),1423,7827644,-15.38161379,35.32734342,142.6636,0.831,5GPQJ89G+9W4H,1
709,1102,1006,1108,710,POINT (35.32732542215397 -15.381648145826464),1423,7827644,-15.38161379,35.32734342,142.6636,0.831,5GPQJ89G+9W4H,1
524,1197,1116,1141,525,POINT (35.31010054841282 -15.381827638130645),754,4130864,-15.3818776,35.3102051,540.4623,0.7911,5GPQJ896+63WW,1
525,1580,1450,1441,526,POINT (35.31019365644428 -15.38182667147886),754,4130864,-15.3818776,35.3102051,540.4623,0.7911,5GPQJ896+63WW,1
526,1723,1625,1623,527,POINT (35.310286764469176 -15.38182570478819),754,4130864,-15.3818776,35.3102051,540.4623,0.7911,5GPQJ896+63WW,1
724,1277,1213,1168,725,POINT (35.31010154471784 -15.381917973452046),754,4130864,-15.3818776,35.3102051,540.4623,0.7911,5GPQJ896+63WW,1
725,1424,1335,1245,726,POINT (35.31019465278937 -15.381917006794309),754,4130864,-15.3818776,35.3102051,540.4623,0.7911,5GPQJ896+63WW,1
726,1567,1486,1406,727,POINT (35.31028776085434 -15.381916040097693),754,4130864,-15.3818776,35.3102051,540.4623,0.7911,5GPQJ896+63WW,1
528,1262,1243,1503,529,POINT (35.310472980499256 -15.381823771290216),1381,7569351,-15.38184509,35.31045681,34.6433,0.7605,5GPQJ896+7584,1
529,1375,1423,1740,530,POINT (35.31056608850444 -15.381822804482908),96,499113,-15.38184294,35.31056317,37.3098,0.7461,5GPQJ896+7686,1
541,1047,929,907,542,POINT (35.31168338405411 -15.381811199762598),1668,9024924,-15.38183389,35.31166793,67.5096,0.8221,5GPQJ896+7M7M,1
546,1141,1090,1076,547,POINT (35.31214892358714 -15.381806362810078),398,2145952,-15.38178716,35.31217241,75.3987,0.778,5GPQJ896+7VMG,1
547,1110,1005,961,548,POINT (35.31224203147402 -15.381805395302932),183,1030731,-15.38183034,35.31221266,36.3219,0.7681,5GPQJ896+7V8Q,1
559,1071,952,908,560,POINT (35.31335932560369 -15.381793782184609),1556,8455471,-15.38180656,35.31336228,22.1359,0.7885,5GPQJ897+78HP,1
671,1174,1080,1198,672,POINT (35.32378735840835 -15.381685123103807),650,3575878,-15.3816814,35.32380375,60.4908,0.7082,5GPQJ89F+8GFP,1
694,1163,1109,1194,695,POINT (35.3259288191846 -15.381662748826583),627,3420740,-15.3816822,35.32590995,30.1883,0.6824,5GPQJ89G+89FJ,1
706,1150,1051,1086,707,POINT (35.32704610167918 -15.381651067126286),789,4282271,-15.38163098,35.32706911,72.6698,0.8381,5GPQJ89G+8RWJ,1
721,1424,1495,1627,722,POINT (35.30982222046384 -15.381920873191971),856,4703886,-15.38192961,35.30980891,81.8741,0.8013,5GPQJ895+6WFX,1
722,1359,1339,1633,723,POINT (35.30991532855507 -15.381919906650875),1123,6216602,-15.38192506,35.30992965,51.3567,0.8278,5GPQJ895+6XFW,1
728,1261,1319,1461,729,POINT (35.31047397696455 -15.38191410658782),690,3768500,-15.38192531,35.31047748,75.1068,0.8178,5GPQJ896+65HV,1
729,1571,1633,1796,730,POINT (35.3105670850098 -15.381913139774564),417,2243633,-15.38191555,35.31056472,51.5582,0.8359,5GPQJ896+66P6,1
753,1080,1014,939,754,POINT (35.312801676124245 -15.381889924592391),1772,9631475,-15.38188955,35.3127965,50.4543,0.7658,5GPQJ897+64VF,1
788,1167,1052,914,789,POINT (35.316060448041604 -15.381856028975024),1217,6664929,-15.38190458,35.31606816,135.7915,0.8341,5GPQJ898+6CPR,1
789,1454,1364,1258,790,POINT (35.31615355569218 -15.381855059828982),946,5238390,-15.38188044,35.31614682,97.388,0.8339,5GPQJ898+6FRP,1
804,1296,1306,1419,805,POINT (35.3175501696604 -15.381840517972837),899,4972427,-15.38185134,35.31755346,60.1225,0.8044,5GPQJ899+723W,1
805,1454,1429,1450,806,POINT (35.31764327720557 -15.381839548204722),1120,6184805,-15.38181844,35.31762988,72.0153,0.7751,5GPQJ899+73C6,1
869,1043,903,1050,870,POINT (35.323602146377425 -15.381777402177509),1390,7609765,-15.38182453,35.32364375,347.6731,0.8688,5GPQJ89F+7FC4,1
1070,1089,924,1267,1071,POINT (35.323696255655214 -15.38186676433183),1390,7609765,-15.38182453,35.32364375,347.6731,0.8688,5GPQJ89F+7FC4,1
