,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
5961820,-13.71687609,34.39734297,28.1623,0.7594,"POLYGON((34.39737175413 -13.7168952988978, 34.397366942327 -13.7168513653948, 34.3973141809069 -13.7168568887418, 34.3973189927004 -13.7169008222467, 34.39737175413 -13.7168952988978))",5GRP79MW+6WWX
5972673,-13.7158206,34.40543684,28.5379,0.743,"POLYGON((34.4054715143159 -13.7158080578551, 34.4054095702189 -13.7157962050626, 34.4054021753202 -13.7158331444324, 34.4054641194271 -13.7158449972258, 34.4054715143159 -13.7158080578551))",5GRP7CM4+M5F5
5974007,-13.72047853,34.39407762,16.0636,0.7347,"POLYGON((34.3940962211085 -13.7204965003485, 34.3940960076223 -13.7204603423056, 34.3940590227202 -13.7204605510159, 34.3940592362007 -13.7204967090594, 34.3940962211085 -13.7204965003485))",5GRP79HV+RJ4V
5975354,-13.71522543,34.39719525,21.3877,0.7632,"POLYGON((34.3972161550893 -13.7152468983573, 34.3972199096444 -13.7152081734186, 34.3971743393744 -13.7152039503288, 34.3971705848117 -13.7152426752675, 34.3972161550893 -13.7152468983573))",5GRP79MW+WV4R
5992912,-13.71496093,34.39772994,24.215,0.736,"POLYGON((34.3977577494965 -13.7149783626103, 34.3977559129718 -13.7149409701038, 34.3977021242541 -13.7149434952344, 34.3977039607706 -13.7149808877421, 34.3977577494965 -13.7149783626103))",5GRP79PX+239F
5993192,-13.72077069,34.398323,42.3826,0.7102,"POLYGON((34.3983582424632 -13.7207939527733, 34.398349071892 -13.7207378464832, 34.3982877482691 -13.7207474266263, 34.3982969188265 -13.7208035329199, 34.3983582424632 -13.7207939527733))",5GRP79HX+M8W3
5995508,-13.71444515,34.39755481,15.6811,0.6191,"POLYGON((34.3975735407316 -13.7144630158899, 34.3975684654914 -13.7144233255277, 34.3975360801551 -13.7144272837769, 34.3975411553902 -13.7144669741402, 34.3975735407316 -13.7144630158899))",5GRP79PX+62F5
5997936,-13.71686612,34.4055374,16.0924,0.7224,"POLYGON((34.4055541799212 -13.7168857977171, 34.4055585839737 -13.7168510377246, 34.4055206241704 -13.7168464407572, 34.4055162201124 -13.7168812007496, 34.4055541799212 -13.7168857977171))",5GRP7CM4+7636
5999319,-13.72009468,34.39648028,22.3144,0.6508,"POLYGON((34.3965071002353 -13.7201109140593, 34.3965041004603 -13.7200744700942, 34.396453452954 -13.7200784546763, 34.3964564527212 -13.7201148986425, 34.3965071002353 -13.7201109140593))",5GRP79HW+XH97
5999555,-13.72010513,34.39853741,53.7561,0.7668,"POLYGON((34.3985786885542 -13.7201309490887, 34.3985751060768 -13.7200745101377, 34.3984961145095 -13.7200793024627, 34.3984996969683 -13.7201357414161, 34.3985786885542 -13.7201309490887))",5GRP79HX+XC3J
6001616,-13.72056286,34.39581416,19.6074,0.7535,"POLYGON((34.3958357305336 -13.7205440749645, 34.3957948148043 -13.7205418885785, 34.3957925909137 -13.7205816660159, 34.3958335066499 -13.7205838524013, 34.3958357305336 -13.7205440749645))",5GRP79HW+Q8GC
6008507,-13.71776492,34.39788593,62.1018,0.8483,"POLYGON((34.3979313963355 -13.7177405360658, 34.3978531092409 -13.7177256712923, 34.3978404668766 -13.7177893113893, 34.3979187539923 -13.7178041761648, 34.3979313963355 -13.7177405360658))",5GRP79JX+V5RF
6019484,-13.71941027,34.39465391,12.8353,0.6429,"POLYGON((34.3946700158501 -13.7194270654771, 34.3946735374426 -13.7193975554847, 34.3946378130425 -13.719393480743, 34.3946342914454 -13.7194229907353, 34.3946700158501 -13.7194270654771))",5GRP79JV+6VJH
6022943,-13.71413195,34.39629159,43.9689,0.7485,"POLYGON((34.3963198639169 -13.7141646351073, 34.396318161729 -13.7140979195507, 34.396263329254 -13.714099256764, 34.3962650314264 -13.7141659723223, 34.3963198639169 -13.7141646351073))",5GRP79PW+8GVM
6031817,-13.72023758,34.39916199,24.6665,0.7395,"POLYGON((34.3991855930602 -13.7202592894959, 34.3991841805359 -13.7202144826931, 34.3991383924029 -13.7202158623311, 34.3991398049186 -13.7202606691351, 34.3991855930602 -13.7202592894959))",5GRP79HX+WM3C
6040797,-13.72054661,34.3943392,64.6669,0.8165,"POLYGON((34.3943842635911 -13.7205199943026, 34.3943068980936 -13.7205059619658, 34.3942941318745 -13.7205732348167, 34.3943714973937 -13.720587267155, 34.3943842635911 -13.7205199943026))",5GRP79HV+QPP5
6041695,-13.71674797,34.39633134,23.5942,0.7024,"POLYGON((34.3963499114689 -13.716773416496, 34.3963534676198 -13.7167253927439, 34.3963127789087 -13.7167225128702, 34.3963092227494 -13.7167705366228, 34.3963499114689 -13.716773416496))",5GRP79MW+8G44
6050313,-13.71973842,34.39592309,25.7562,0.7697,"POLYGON((34.3959424002605 -13.719764965802, 34.3959469670651 -13.7197157102333, 34.3959037880651 -13.7197118838031, 34.3958992212514 -13.7197611393722, 34.3959424002605 -13.719764965802))",5GRP79JW+493G
6051727,-13.71627365,34.39631457,28.5992,0.7387,"POLYGON((34.3963407000128 -13.7162962670292, 34.3963367780133 -13.7162473244642, 34.3962884271991 -13.7162510278638, 34.3962923491888 -13.7162999704305, 34.3963407000128 -13.7162962670292))",5GRP79MW+FGW2
6051890,-13.71643586,34.39597039,16.8406,0.6635,"POLYGON((34.3959886442179 -13.7164551300191, 34.3959920737091 -13.7164203575027, 34.3959521256609 -13.7164165916309, 34.3959486961637 -13.7164513641474, 34.3959886442179 -13.7164551300191))",5GRP79MW+C9HC
6059740,-13.71531976,34.39718632,32.5255,0.7887,"POLYGON((34.3972127789903 -13.7153454256031, 34.3972145461767 -13.7152959711709, 34.3971598595699 -13.7152941033303, 34.3971580923719 -13.7153435577631, 34.3972127789903 -13.7153454256031))",5GRP79MW+VVF9
6073198,-13.71542779,34.3961064,35.4148,0.723,"POLYGON((34.3961379923802 -13.7154499543427, 34.3961313364687 -13.7153986190215, 34.3960748118081 -13.715405624028, 34.3960814677078 -13.7154569593518, 34.3961379923802 -13.7154499543427))",5GRP79MW+RCHV
6106000,-13.72117197,34.39914234,9.3605,0.7145,"POLYGON((34.3991587165192 -13.7211835544175, 34.3991574646175 -13.7211588605059, 34.3991259838039 -13.7211603859065, 34.3991272357024 -13.7211850798185, 34.3991587165192 -13.7211835544175))",5GRP79HX+GMJ4
6118784,-13.71674287,34.3964259,46.5729,0.7801,"POLYGON((34.3964604997052 -13.7167154194812, 34.3963996338073 -13.7167076800223, 34.3963913002302 -13.7167703225589, 34.3964521661445 -13.7167780620182, 34.3964604997052 -13.7167154194812))",5GRP79MW+8H38
