,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
6296,-16.57698658,35.11337288,14.0394,0.6418,"POLYGON((35.1133547663014 -16.5769691406271, 35.1133495900561 -16.5769968597978, 35.1133909875118 -16.5770040492557, 35.1133961637511 -16.5769763300843, 35.1133547663014 -16.5769691406271))",5GMQC4F7+685H
9128,-16.58587996,35.11313398,30.4072,0.7861,"POLYGON((35.1131368722396 -16.5858403222785, 35.1131035609067 -16.5858531555869, 35.113131081542 -16.5859195848431, 35.1131643928839 -16.5859067515299, 35.1131368722396 -16.5858403222785))",5GMQC477+J7RV
10904,-16.58459767,35.10837126,64.8477,0.8409,"POLYGON((35.1084211235609 -16.5846172877503, 35.108401486364 -16.5845546897818, 35.1083213947702 -16.5845780544303, 35.1083410319451 -16.584640652409, 35.1084211235609 -16.5846172877503))",5GMQC485+5895
11508,-16.58246209,35.11366736,32.1574,0.7556,"POLYGON((35.11369888786 -16.5824816848217, 35.1136872903169 -16.5824314493576, 35.113635822189 -16.5824424992183, 35.1136474197201 -16.5824927346869, 35.11369888786 -16.5824816848217))",5GMQC497+2F7F
11593,-16.59120532,35.11539395,14.3399,0.6838,"POLYGON((35.1154139752355 -16.5912198526499, 35.1154097878885 -16.5911865734878, 35.1153739515171 -16.591190766377, 35.1153781388582 -16.5912240455408, 35.1154139752355 -16.5912198526499))",5GMQC458+G56P
16183,-16.58262589,35.12433513,48.0756,0.8257,"POLYGON((35.1243693844685 -16.5826560749327, 35.1243583695613 -16.5825871544324, 35.1243008707557 -16.5825957002411, 35.1243118856435 -16.5826646207467, 35.1243693844685 -16.5826560749327))",5GMQC48F+WPWW
17828,-16.5859683,35.11068269,67.3592,0.8059,"POLYGON((35.1107341992599 -16.5859856632765, 35.1107078741185 -16.5859216154404, 35.11063117217 -16.5859509324415, 35.1106574972921 -16.5860149802884, 35.1107341992599 -16.5859856632765))",5GMQC476+J779
17835,-16.58558415,35.11735812,25.7069,0.7603,"POLYGON((35.11738816786 -16.585598522013, 35.1173737001666 -16.5855555111765, 35.1173280641725 -16.5855697862261, 35.1173425318575 -16.5856127970665, 35.11738816786 -16.585598522013))",5GMQC478+QW9M
18661,-16.58487094,35.10868277,54.7337,0.8117,"POLYGON((35.1087275401779 -16.5848917217648, 35.1087145560364 -16.5848341116849, 35.1086379974316 -16.5848501574521, 35.1086509815526 -16.5849077675388, 35.1087275401779 -16.5848917217648))",5GMQC485+3F35
19569,-16.58970479,35.12340183,8.4498,0.607,"POLYGON((35.1234166655038 -16.5897165950119, 35.1234135669171 -16.5896901003925, 35.1233869907904 -16.5896929905892, 35.1233900893736 -16.5897194852093, 35.1234166655038 -16.5897165950119))",5GMQC46F+496X
20691,-16.58928488,35.1113277,14.8411,0.6694,"POLYGON((35.1113526866192 -16.5892923344846, 35.1113428850145 -16.589264355505, 35.1113027064671 -16.5892774440497, 35.1113125080674 -16.5893054230317, 35.1113526866192 -16.5892923344846))",5GMQC466+7GPM
22714,-16.5749757,35.10812635,71.1307,0.726,"POLYGON((35.1081692907467 -16.5750166721326, 35.108140173794 -16.574918997138, 35.1080834130808 -16.5749347336127, 35.1081125300095 -16.5750324086181, 35.1081692907467 -16.5750166721326))",5GMQC4G5+272R
23690,-16.57879681,35.12491863,95.5558,0.828,"POLYGON((35.1249718 -16.5788329, 35.1249477 -16.5787407, 35.1248654 -16.5787608, 35.1248896 -16.5788529, 35.1249718 -16.5788329))",5GMQC4CF+FXM3
25540,-16.58555348,35.11357498,28.9259,0.7615,"POLYGON((35.1136058047408 -16.5855706154901, 35.1135934155559 -16.585524127901, 35.1135441598104 -16.5855363349696, 35.113556548985 -16.5855828225628, 35.1136058047408 -16.5855706154901))",5GMQC477+QCGV
