,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
2002,-15.81439006,35.05875695,28.0622,0.6432,"POLYGON((35.058782945602 -15.8144126335031, 35.0587814801832 -15.8143659901044, 35.0587309541086 -15.8143674780008, 35.0587324195161 -15.8144141214013, 35.058782945602 -15.8144126335031))",5GPQ53P5+6GR6
4453,-15.80725761,35.05771973,53.0692,0.6094,"POLYGON((35.0577726212215 -15.807283772319, 35.0576973144214 -15.8072043563732, 35.0576668350237 -15.8072314490049, 35.0577421418258 -15.8073108649602, 35.0577726212215 -15.807283772319))",5GPQ53V5+33XJ
7016,-15.81575548,35.05701441,22.293,0.6154,"POLYGON((35.0570285787721 -15.8157824474508, 35.0570438452647 -15.8157453519354, 35.0570002494264 -15.8157285350898, 35.0569849829264 -15.8157656306034, 35.0570285787721 -15.8157824474508))",5GPQ53M4+MRRM
8050,-15.81435252,35.06833496,14.7789,0.6442,"POLYGON((35.0683567825465 -15.814366241267, 35.0683553512209 -15.8143368783912, 35.0683131365693 -15.8143388072023, 35.0683145678889 -15.814368170079, 35.0683567825465 -15.814366241267))",5GPQ53P9+784W
8302,-15.81237368,35.06221958,591.6965,0.7994,"POLYGON((35.0623370780873 -15.8125293885432, 35.062249948768 -15.8122345454126, 35.0622513089639 -15.8122341686474, 35.0622358613133 -15.8121818941252, 35.0621020857299 -15.8122189490197, 35.0622043907343 -15.812565147087, 35.0623370780873 -15.8125293885432))",5GPQ53Q6+3V52
8325,-15.81659813,35.05681624,13.9298,0.7245,"POLYGON((35.0568352580666 -15.8166133878052, 35.0568343413393 -15.8165818655725, 35.0567972240868 -15.816582877328, 35.0567981408088 -15.8166143995616, 35.0568352580666 -15.8166133878052))",5GPQ53M4+9P82
9365,-15.80361994,35.05337663,187.3361,0.7688,"POLYGON((35.0534629769207 -15.8035939635759, 35.0533409202785 -15.8035395140345, 35.0532902778042 -15.8036459322774, 35.0534123345044 -15.8037003818403, 35.0534629769207 -15.8035939635759))",5GPQ53W3+H926
10186,-15.80950322,35.06435472,70.227,0.6498,"POLYGON((35.0644195343807 -15.8095226564541, 35.0644163370665 -15.80947595906, 35.0642899406928 -15.8094840711721, 35.0642925019443 -15.8095301899537, 35.0644195343807 -15.8095226564541))",5GPQ53R7+5PXV
11797,-15.80910123,35.05767426,171.0608,0.7587,"POLYGON((35.0576856808531 -15.8091960218945, 35.057741718835 -15.8090316445648, 35.0576628374308 -15.809006437287, 35.057606799387 -15.8091708146035, 35.0576856808531 -15.8091960218945))",5GPQ53R5+933W
13060,-15.81673417,35.05585722,11.985,0.6252,"POLYGON((35.0558711971122 -15.816751626545, 35.0558753849847 -15.8167208158182, 35.0558432431013 -15.8167167209457, 35.0558390552237 -15.8167475316724, 35.0558711971122 -15.816751626545))",5GPQ53M4+885M
13976,-15.80873427,35.05908929,57.1515,0.7057,"POLYGON((35.0590614468289 -15.80880316558, 35.0591447314777 -15.8086833546023, 35.0591171349563 -15.8086653727366, 35.0590338502929 -15.8087851837031, 35.0590614468289 -15.80880316558))",5GPQ53R5+GJ4Q
