,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
977,-15.80861881,35.64626536,30.452,0.7449,"POLYGON((35.6462749630411 -15.8086570662115, 35.6462911826488 -15.8085884012075, 35.6462557573426 -15.8085805573217, 35.6462395377215 -15.8086492223249, 35.6462749630411 -15.8086570662115))",5GPQ5JRW+HG27
2076,-15.803077,35.64534678,26.5346,0.7927,"POLYGON((35.6453855600802 -15.8030815519247, 35.6453248804019 -15.8030456797701, 35.6453079955349 -15.8030724541819, 35.6453686752209 -15.803108326339, 35.6453855600802 -15.8030815519247))",5GPQ5JWW+Q49R
2659,-15.80779423,35.64685204,38.3909,0.8072,"POLYGON((35.6468935598989 -15.807803100455, 35.6468443945978 -15.8077537463395, 35.6468105203343 -15.8077853779438, 35.6468596856373 -15.8078347320669, 35.6468935598989 -15.807803100455))",5GPQ5JRW+VPQ7
3926,-15.80358672,35.64731634,25.4593,0.6381,"POLYGON((35.6473092167011 -15.8035544838002, 35.6472824491552 -15.8035835214429, 35.6473234697343 -15.8036189687571, 35.6473502372775 -15.8035899311093, 35.6473092167011 -15.8035544838002))",5GPQ5JWW+HW8C
4954,-15.80198661,35.64658784,12.1648,0.6962,"POLYGON((35.6466060776143 -15.8020002474135, 35.6466000221985 -15.8019676709524, 35.6465696192643 -15.8019729687663, 35.6465756746756 -15.802005545229, 35.6466060776143 -15.8020002474135))",5GPQ5JXW+6J4H
5573,-15.80668154,35.65404765,10.1245,0.646,"POLYGON((35.6540649403014 -15.8066937580931, 35.6540548296089 -15.8066620066855, 35.6540303532078 -15.8066693127976, 35.6540404638972 -15.8067010642068, 35.6540649403014 -15.8066937580931))",5GPQ5MV3+8JFP
5967,-15.81462121,35.64287636,37.5302,0.6894,"POLYGON((35.6428891580105 -15.8146633194338, 35.642883937852 -15.81464587968, 35.6429068781637 -15.8146394434875, 35.6428892800244 -15.8145806507787, 35.6428458545396 -15.8145928343395, 35.6428686728251 -15.814669066808, 35.6428891580105 -15.8146633194338))",5GPQ5JPV+5522
6160,-15.81505884,35.64313687,44.3142,0.7856,"POLYGON((35.6431793674772 -15.8150720946552, 35.6431611885963 -15.8150225859448, 35.643094390081 -15.8150455758229, 35.6431125689492 -15.8150950845414, 35.6431793674772 -15.8150720946552))",5GPQ5JMV+X7CM
8281,-15.8092957,35.65542317,23.7648,0.7411,"POLYGON((35.6554410126896 -15.8093217491963, 35.6554471793297 -15.8092747901131, 35.6554053167788 -15.8092696370593, 35.6553991501289 -15.8093165961428, 35.6554410126896 -15.8093217491963))",5GPQ5MR4+75M4
11389,-15.80241132,35.64623718,36.1697,0.7919,"POLYGON((35.6462785656138 -15.802402551259, 35.646249299653 -15.8023720164717, 35.6461958024867 -15.8024200824845, 35.6462250684489 -15.8024506172789, 35.6462785656138 -15.802402551259))",5GPQ5JXW+2FQG
11680,-15.80740574,35.65436477,49.0658,0.7607,"POLYGON((35.6544025707219 -15.8073798486038, 35.6543424437518 -15.8073664702115, 35.6543269788999 -15.8074316223575, 35.65438710589 -15.8074450007513, 35.6544025707219 -15.8073798486038))",5GPQ5MV3+2PQP
12253,-15.80650854,35.65470416,40.7248,0.7674,"POLYGON((35.6547334099445 -15.8065386589249, 35.6547271939175 -15.8064737440368, 35.6546749101293 -15.8064784371017, 35.6546811261403 -15.8065433519946, 35.6547334099445 -15.8065386589249))",5GPQ5MV3+9VWP
13773,-15.80591055,35.64698078,67.9475,0.8344,"POLYGON((35.647031221469 -15.8059300373077, 35.6470011488079 -15.805861807779, 35.6469303358416 -15.8058910652224, 35.6469604084865 -15.8059592947638, 35.647031221469 -15.8059300373077))",5GPQ5JVW+JQQF
13898,-15.81228795,35.65043972,74.1386,0.7793,"POLYGON((35.6504917366441 -15.812314611843, 35.650446050594 -15.8122312926629, 35.650387698924 -15.812261283483, 35.6504333849609 -15.8123446026777, 35.6504917366441 -15.812314611843))",5GPQ5MQ2+35PC
14191,-15.8026351,35.64332223,94.0288,0.8369,"POLYGON((35.6433885112088 -15.8026209456004, 35.6433400260874 -15.8025716824232, 35.6432559428848 -15.8026492595541, 35.6433044280105 -15.8026985227505, 35.6433885112088 -15.8026209456004))",5GPQ5JWV+W8WF
14957,-15.81206825,35.64138763,15.0712,0.7221,"POLYGON((35.6414092103344 -15.8120823781848, 35.6414074255493 -15.8120518556505, 35.6413660524201 -15.8120541233234, 35.6413678371992 -15.812084645859, 35.6414092103344 -15.8120823781848))",5GPQ5JQR+5HC7
15680,-15.80817643,35.6550758,74.5279,0.8519,"POLYGON((35.6551293698433 -15.8081529707801, 35.6550342866507 -15.8081361182608, 35.6550222329765 -15.8081998671076, 35.6551173161995 -15.8082167196277, 35.6551293698433 -15.8081529707801))",5GPQ5MR4+P2GV
18173,-15.81377902,35.64205014,10.7314,0.7675,"POLYGON((35.6420699791496 -15.8137885878433, 35.6420658557753 -15.8137638802933, 35.6420302747076 -15.8137694461486, 35.6420343980779 -15.8137941536999, 35.6420699791496 -15.8137885878433))",5GPQ5JPR+FRMW
19223,-15.80211085,35.6539515,266.5205,0.8067,"POLYGON((35.6540714876881 -15.8020827383299, 35.6539871624969 -15.8020661517609, 35.6539869190537 -15.8020673119773, 35.6538514995135 -15.8020406751921, 35.6538310497529 -15.8021381355421, 35.6540507945922 -15.8021813589027, 35.6540714876881 -15.8020827383299))",5GPQ5MX3+5H4F
21093,-15.80470948,35.64524778,29.1283,0.8178,"POLYGON((35.6452827069852 -15.8047164233794, 35.6452586332087 -15.8046765986034, 35.6452128401283 -15.8047025475756, 35.6452369139005 -15.8047423723575, 35.6452827069852 -15.8047164233794))",5GPQ5JWW+439Q
23300,-15.80186882,35.64566048,24.5698,0.7566,"POLYGON((35.6456801035853 -15.8019002044683, 35.6456714007727 -15.8018336923799, 35.6456408413857 -15.8018374407737, 35.6456495441888 -15.8019039528647, 35.6456801035853 -15.8019002044683))",5GPQ5JXW+7736
25487,-15.80248611,35.64453735,39.7598,0.7537,"POLYGON((35.6445835 -15.8025045, 35.6445173 -15.8024419, 35.6444912 -15.8024678, 35.6445575 -15.8025303, 35.6445835 -15.8025045))",5GPQ5JXV+2R3C
25684,-15.80256156,35.65706631,45.7027,0.8048,"POLYGON((35.6571049572973 -15.8025398585817, 35.6570482537162 -15.8025219883883, 35.6570276598949 -15.8025832455465, 35.6570843634939 -15.8026011157431, 35.6571049572973 -15.8025398585817))",5GPQ5MW4+XRGC
25755,-15.79830757,35.65405538,45.7549,0.8095,"POLYGON((35.6540990796341 -15.7982947473728, 35.6540294597084 -15.7982711776579, 35.6540116840643 -15.7983203999354, 35.6540813040065 -15.7983439696535, 35.6540990796341 -15.7982947473728))",5GPQ6M23+MJFQ
28244,-15.80378305,35.64298658,33.0398,0.7809,"POLYGON((35.6430246633212 -15.8037861448898, 35.6429824172543 -15.8037462576247, 35.6429484797073 -15.8037799526611, 35.6429907257766 -15.8038198399331, 35.6430246633212 -15.8037861448898))",5GPQ5JWV+F5QP
29328,-15.79785539,35.65393671,11.3552,0.6863,"POLYGON((35.6539494946626 -15.7978731063, 35.6539528764391 -15.7978404869396, 35.6539239085353 -15.7978376715003, 35.6539205267542 -15.7978702908607, 35.6539494946626 -15.7978731063))",5GPQ6M23+VH3Q
31502,-15.8000586,35.65607984,27.2249,0.7381,"POLYGON((35.6561036061723 -15.8000318700483, 35.656066078918 -15.8000259484348, 35.6560560804293 -15.8000853490076, 35.656093607695 -15.8000912706211, 35.6561036061723 -15.8000318700483))",5GPQ5MX4+XCGP
32062,-15.80489713,35.64688852,64.3054,0.8577,"POLYGON((35.6468819941081 -15.8048444488519, 35.646835535016 -15.8048835663925, 35.6468950361211 -15.8049498113579, 35.6469414952128 -15.8049106938042, 35.6468819941081 -15.8048444488519))",5GPQ5JWW+2QR3
32319,-15.80493292,35.64177193,47.0244,0.7991,"POLYGON((35.6418168408357 -15.8049214230698, 35.6417461104759 -15.804895532408, 35.6417270176905 -15.804944426948, 35.641797748067 -15.8049703176137, 35.6418168408357 -15.8049214230698))",5GPQ5JWR+2PCP
32343,-15.8126796,35.64255759,18.0105,0.7215,"POLYGON((35.6425876779556 -15.8126872539588, 35.642546213411 -15.812651564522, 35.6425274869402 -15.8126719578421, 35.6425689514876 -15.8127076472829, 35.6425876779556 -15.8126872539588))",5GPQ5JPV+W2FX
33228,-15.80708758,35.64601512,35.4597,0.8563,"POLYGON((35.6460472323017 -15.8071103963219, 35.6460457744565 -15.8070629544212, 35.6459830034973 -15.8070647625312, 35.6459844613278 -15.8071122044345, 35.6460472323017 -15.8071103963219))",5GPQ5JVW+5C6F
36952,-15.80328596,35.64638485,32.6759,0.8125,"POLYGON((35.646426155409 -15.803286211016, 35.6464080279096 -15.8032528572171, 35.6463435384841 -15.8032857133669, 35.6463616659771 -15.8033190671713, 35.646426155409 -15.803286211016))",5GPQ5JWW+MHJF
37705,-15.80222465,35.64426474,31.0608,0.7474,"POLYGON((35.6442380159983 -15.8021873039191, 35.6442199873772 -15.8022109589002, 35.6442914459497 -15.8022620134491, 35.6443094745649 -15.8022383584629, 35.6442380159983 -15.8021873039191))",5GPQ5JXV+4P63
38767,-15.80417389,35.65737578,65.0114,0.6811,"POLYGON((35.6574162924852 -15.8042101906343, 35.6574102882536 -15.8041408338782, 35.6573703368312 -15.8041440760209, 35.6573686957942 -15.8041251198308, 35.657338626374 -15.8041275600227, 35.6573462716169 -15.804215872975, 35.6574162924852 -15.8042101906343))",5GPQ5MW4+8XJ2
39148,-15.81164752,35.65094357,21.2389,0.6231,"POLYGON((35.6509345634526 -15.8116699474339, 35.6509727807324 -15.811652847333, 35.6509753348238 -15.8116337335037, 35.6509227689219 -15.8116271494597, 35.6509173383153 -15.8116677899306, 35.6509345634526 -15.8116699474339))",5GPQ5MQ2+89W2
39279,-15.80587496,35.64492765,16.9455,0.7225,"POLYGON((35.6449316005026 -15.805904214617, 35.644949182091 -15.8058540898107, 35.6449237040237 -15.805845712658, 35.6449061224291 -15.8058958374628, 35.6449316005026 -15.805904214617))",5GPQ5JVV+MX34
40015,-15.8050858,35.64646857,11.6259,0.6431,"POLYGON((35.6464722363399 -15.8050642208678, 35.6464580335295 -15.8050623791555, 35.6464528021876 -15.8051001967122, 35.6464893694719 -15.8051049384761, 35.6464722363399 -15.8050642208678))",5GPQ5JVW+XH8H
40133,-15.80408545,35.64895431,11.3493,0.7094,"POLYGON((35.6489740105916 -15.8040959293214, 35.648969213909 -15.8040691814917, 35.6489345923519 -15.8040750015995, 35.6489393890303 -15.8041017494305, 35.6489740105916 -15.8040959293214))",5GPQ5JWX+9H8G
41057,-15.80145483,35.64599007,70.0212,0.8074,"POLYGON((35.6460467321633 -15.8014589990689, 35.645974993543 -15.8014017807105, 35.6459334098198 -15.8014506554579, 35.6460051484507 -15.8015078738286, 35.6460467321633 -15.8014589990689))",5GPQ5JXW+C99W
41207,-15.80519382,35.65209463,18.8271,0.6605,"POLYGON((35.6521268482625 -15.8051911699382, 35.6521125917505 -15.8051677807097, 35.6520624089367 -15.8051964541446, 35.652076665446 -15.8052198433768, 35.6521268482625 -15.8051911699382))",5GPQ5MV2+WRH6
41629,-15.80378299,35.64205539,9.4629,0.6365,"POLYGON((35.6420744980835 -15.8037896288207, 35.6420639771101 -15.8037651634317, 35.6420362690299 -15.8037763331889, 35.6420467900006 -15.8038007985789, 35.6420744980835 -15.8037896288207))",5GPQ5JWR+FRMQ
44911,-15.81232636,35.65009403,12.4879,0.6601,"POLYGON((35.6501124097719 -15.8123411619903, 35.65011435664 -15.8123141660916, 35.6500756610567 -15.8123115503357, 35.6500737141834 -15.8123385462349, 35.6501124097719 -15.8123411619903))",5GPQ5MQ2+329R
46762,-15.8066808,35.65693868,35.123,0.7579,"POLYGON((35.6569646046791 -15.8067095103316, 35.6569630454283 -15.8066508298884, 35.6569127671793 -15.8066520822256, 35.6569143264157 -15.8067107626714, 35.6569646046791 -15.8067095103316))",5GPQ5MV4+8QGJ
