,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
2121,-16.0319337,35.50231319,94.5937,0.7983,"POLYGON((35.5023787660344 -16.0319410378887, 35.5023419125054 -16.0318762193731, 35.5022476160516 -16.0319263623457, 35.5022844695646 -16.03199118088, 35.5023787660344 -16.0319410378887))",5GMQXG92+6WGJ
6260,-16.02753678,35.50795972,48.9043,0.6308,"POLYGON((35.5080057359567 -16.0275311053718, 35.5079470215939 -16.027493629059, 35.5079137035059 -16.0275424517557, 35.50797241788 -16.0275799280766, 35.5080057359567 -16.0275311053718))",5GMQXGC5+X5PG
8953,-16.02757698,35.49761398,54.597,0.6465,"POLYGON((35.4976455306672 -16.0276137862489, 35.497643574429 -16.0275386820877, 35.4975824413273 -16.0275401713985, 35.497584397543 -16.0276152755635, 35.4976455306672 -16.0276137862489))",5GMQXFCX+X29W
9533,-16.03250407,35.50343717,24.3584,0.6178,"POLYGON((35.5034290979424 -16.0324705605405, 35.5034037434154 -16.0324922837015, 35.5034452366029 -16.0325375778042, 35.5034705911301 -16.0325158546388, 35.5034290979424 -16.0324705605405))",5GMQXG83+X9VX
16887,-16.03219273,35.50489766,18.9773,0.7137,"POLYGON((35.5049282687255 -16.0321899210408, 35.5049100671659 -16.0321655117472, 35.5048670262883 -16.0321955288111, 35.5048852278462 -16.0322199381087, 35.5049282687255 -16.0321899210408))",5GMQXG93+4XC8
17028,-16.02640791,35.49081784,56.5906,0.738,"POLYGON((35.4908624028433 -16.0264307508363, 35.490851918603 -16.0263719510225, 35.4907732707557 -16.0263850671799, 35.4907837549749 -16.0264438670007, 35.4908624028433 -16.0264307508363))",5GMQXFFR+C8PJ
19825,-16.02690669,35.49775617,55.6173,0.6945,"POLYGON((35.4977829431544 -16.0269468795723, 35.4977935866962 -16.0268754588805, 35.4977293915024 -16.0268665109572, 35.4977187479378 -16.0269379316485, 35.4977829431544 -16.0269468795723))",5GMQXFFX+64JJ
20639,-16.02879448,35.49932284,25.6682,0.7464,"POLYGON((35.4993490120516 -16.0287740914294, 35.4993058798934 -16.0287664137583, 35.4992966614963 -16.0288148505833, 35.4993397936649 -16.0288225282545, 35.4993490120516 -16.0287740914294))",5GMQXFCX+FPP7
22466,-16.03095468,35.5010846,130.8912,0.8514,"POLYGON((35.501153465237 -16.0310018032082, 35.5010823086493 -16.0308731312779, 35.5010157457863 -16.0309075585285, 35.5010869023494 -16.0310362304842, 35.501153465237 -16.0310018032082))",5GMQXG92+JC8W
22596,-16.02706454,35.50643129,195.3608,0.8231,"POLYGON((35.5065548043998 -16.0270555994199, 35.5063233353901 -16.0270058133859, 35.5063077727569 -16.0270734876766, 35.5065392418461 -16.0271232737174, 35.5065548043998 -16.0270555994199))",5GMQXGF4+5HFH
23659,-16.03083253,35.50428252,11.646,0.6649,"POLYGON((35.504279137451 -16.0308077198898, 35.504260898473 -16.0308187773982, 35.5042859020243 -16.030857350511, 35.5043041410036 -16.0308462930003, 35.504279137451 -16.0308077198898))",5GMQXG93+MP7J
