,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
4549,-15.94274301,35.49462205,25.2944,0.6714,"POLYGON((35.4946301872341 -15.9427793882135, 35.4946445207826 -15.9427127963452, 35.4946138992537 -15.9427066263231, 35.4945995656949 -15.9427732181908, 35.4946301872341 -15.9427793882135))",5GPQ3F4V+WR59
9531,-15.93459561,35.49454856,45.5589,0.7112,"POLYGON((35.4945741755511 -15.9346381457287, 35.49456571611 -15.9345492744791, 35.4945229609234 -15.9345530845352, 35.4945314203455 -15.9346419557891, 35.4945741755511 -15.9346381457287))",5GPQ3F8V+5R74
14014,-15.94337221,35.49408027,8.7674,0.6887,"POLYGON((35.4940985354905 -15.9433797702541, 35.4940926104285 -15.9433571346595, 35.4940619948254 -15.9433646365034, 35.4940679198845 -15.9433872720992, 35.4940985354905 -15.9433797702541))",5GPQ3F4V+MJ44
15592,-15.93361951,35.49775771,9.7213,0.6215,"POLYGON((35.4977759201749 -15.9336299565087, 35.4977739922578 -15.9336064202868, 35.4977394691181 -15.9336090677413, 35.4977413970313 -15.9336326039639, 35.4977759201749 -15.9336299565087))",5GPQ3F8X+H426
24461,-15.94302115,35.49711225,57.6677,0.7857,"POLYGON((35.4971599255713 -15.9430373521817, 35.4971377603293 -15.9429789522404, 35.4970645713186 -15.9430049557276, 35.4970867365446 -15.9430633556789, 35.4971599255713 -15.9430373521817))",5GPQ3F4W+QRX4
28042,-15.94128144,35.49290615,13.0123,0.6701,"POLYGON((35.492923351058 -15.9412976209441, 35.4929193756331 -15.9412620765772, 35.4928889396247 -15.9412652632219, 35.4928929150445 -15.9413008075901, 35.492923351058 -15.9412976209441))",5GPQ3F5V+F5JQ
29387,-15.93913793,35.49743748,15.895,0.6441,"POLYGON((35.4974608427855 -15.9391532557479, 35.4974628375998 -15.9391259418116, 35.4974141333233 -15.9391226119288, 35.4974121385025 -15.9391499258656, 35.4974608427855 -15.9391532557479))",5GPQ3F6W+8XVH
30828,-15.92871792,35.49410463,23.1993,0.6741,"POLYGON((35.4941229827982 -15.9287458661881, 35.4941201568154 -15.9286884054364, 35.4940862759583 -15.9286899654926, 35.4940891019319 -15.9287474262461, 35.4941229827982 -15.9287458661881))",5GPQ3FCV+GJ97
37266,-15.93818079,35.49497865,39.294,0.7986,"POLYGON((35.4950155565438 -15.9381996910609, 35.4949904227639 -15.9381420357449, 35.4949417562915 -15.9381618964779, 35.4949668900618 -15.9382195518011, 35.4950155565438 -15.9381996910609))",5GPQ3F6V+PXHM
48934,-15.93619677,35.50413475,92.5729,0.7398,"POLYGON((35.5041824947304 -15.9362371955462, 35.5041778430553 -15.9361517143834, 35.5040870066577 -15.9361563419494, 35.5040916582951 -15.9362418231197, 35.5041824947304 -15.9362371955462))",5GPQ3G73+GMC3
50859,-15.93960591,35.49258313,22.0009,0.7641,"POLYGON((35.4926013640734 -15.9396327352796, 35.4925981738888 -15.9395772923464, 35.4925648998421 -15.9395790846657, 35.4925680900181 -15.9396345276008, 35.4926013640734 -15.9396327352796))",5GPQ3F6V+524P
64530,-15.94014673,35.49219339,23.9323,0.744,"POLYGON((35.4922144940596 -15.9401704218274, 35.4922197548742 -15.9401286335755, 35.4921722879655 -15.9401230394953, 35.4921670271409 -15.9401648277474, 35.4922144940596 -15.9401704218274))",5GPQ3F5R+WVW2
65040,-15.93994362,35.49446938,14.5248,0.6125,"POLYGON((35.4944891918582 -15.9399585810297, 35.4944852104345 -15.9399247313737, 35.4944495797203 -15.9399286546389, 35.4944535611383 -15.9399625042963, 35.4944891918582 -15.9399585810297))",5GPQ3F6V+2QH6
75733,-15.93947658,35.49159072,26.0051,0.7922,"POLYGON((35.4916260523159 -15.9394712828321, 35.4916023816557 -15.9394438744711, 35.4915553883147 -15.9394818675921, 35.4915790589745 -15.9395092759585, 35.4916260523159 -15.9394712828321))",5GPQ3F6R+6J4X
77883,-15.9432514,35.49342644,48.872,0.7811,"POLYGON((35.4934703852215 -15.9432655156891, 35.4934468346426 -15.9432111820105, 35.4933824924466 -15.943237288775, 35.4934060430134 -15.9432916224625, 35.4934703852215 -15.9432655156891))",5GPQ3F4V+M9VW
80703,-15.93773822,35.50349863,48.5662,0.6463,"POLYGON((35.5035476357587 -15.9377496274104, 35.5034811329164 -15.9376924837994, 35.5034496127069 -15.9377268246112, 35.5035161155544 -15.937783968231, 35.5035476357587 -15.9377496274104))",5GPQ3G63+W95H
83674,-15.93396212,35.50023801,38.8905,0.763,"POLYGON((35.5002710232064 -15.9339383445217, 35.5002115884109 -15.9339315955359, 35.5002050036719 -15.9339858837991, 35.5002644384837 -15.9339926327847, 35.5002710232064 -15.9339383445217))",5GPQ3G82+C39G
86511,-15.93943722,35.49237426,41.528,0.7922,"POLYGON((35.4923981154283 -15.9394712842059, 35.4924078658351 -15.9394119964003, 35.4923504049453 -15.9394031498948, 35.4923406545211 -15.9394624377002, 35.4923981154283 -15.9394712842059))",5GPQ3F6R+6WHH
92564,-15.93918888,35.4928475,30.8155,0.7709,"POLYGON((35.4928609724296 -15.9392239038635, 35.4928740724873 -15.9391617592649, 35.4928340301268 -15.9391538573482, 35.4928209300562 -15.9392160019461, 35.4928609724296 -15.9392239038635))",5GPQ3F6V+84HC
99382,-15.94113771,35.4930826,27.0214,0.7351,"POLYGON((35.4931060351331 -15.9411665777952, 35.493093390312 -15.9411025052911, 35.4930591653196 -15.9411088282193, 35.4930718101309 -15.941172900727, 35.4931060351331 -15.9411665777952))",5GPQ3F5V+G6WG
107682,-15.93349978,35.49758652,31.9922,0.7279,"POLYGON((35.497620169725 -15.9335155418257, 35.4975993082216 -15.9334657905361, 35.4975528670838 -15.9334840215804, 35.4975737285793 -15.933533772877, 35.497620169725 -15.9335155418257))",5GPQ3F8X+J245
114618,-15.9432955,35.50081514,16.7682,0.721,"POLYGON((35.5008338188939 -15.9433148121547, 35.5008304883464 -15.9432736091422, 35.5007964653124 -15.9432761835886, 35.500799795853 -15.9433173866025, 35.5008338188939 -15.9433148121547))",5GPQ3G42+M8P2
125855,-15.93965113,35.49658713,28.6302,0.6536,"POLYGON((35.4966205718732 -15.9396631542288, 35.4966062585607 -15.9396220001181, 35.4965536957368 -15.9396391139046, 35.4965680090406 -15.9396802680196, 35.4966205718732 -15.9396631542288))",5GPQ3F6W+4JPX
126950,-15.94191315,35.49084129,28.3726,0.7875,"POLYGON((35.4908723389779 -15.941930799217, 35.4908682076831 -15.9418900112727, 35.4908102545635 -15.9418955061912, 35.4908143858471 -15.9419362941382, 35.4908723389779 -15.941930799217))",5GPQ3F5R+68PH
130445,-15.93818043,35.49255392,21.0248,0.6962,"POLYGON((35.4925755430977 -15.9381572995374, 35.4925431745693 -15.9381510203283, 35.4925322907577 -15.9382035429014, 35.4925646592947 -15.9382098221109, 35.4925755430977 -15.9381572995374))",5GPQ3F6V+P2FP
137774,-15.94115863,35.49432913,36.7384,0.7235,"POLYGON((35.4943352531199 -15.9411965382773, 35.4943341691631 -15.9411718316071, 35.4943606229878 -15.9411707451305, 35.4943587591263 -15.9411282621186, 35.494303122948 -15.9411305471289, 35.4943060707504 -15.9411977368139, 35.4943352531199 -15.9411965382773))",5GPQ3F5V+GPPP
154939,-15.9351696,35.49205025,20.4082,0.6448,"POLYGON((35.492055 -15.9351402, 35.4920234 -15.9351551, 35.4920455 -15.935199, 35.4920771 -15.9351841, 35.492055 -15.9351402))",5GPQ3F7R+WRM8
158181,-15.93785457,35.50333605,126.4807,0.7725,"POLYGON((35.503421795898 -15.937887113489, 35.5032925204428 -15.9377760314387, 35.5032502920638 -15.9378220385451, 35.5033795675307 -15.9379331206204, 35.503421795898 -15.937887113489))",5GPQ3G63+V84X
167877,-15.92934432,35.49350077,33.8965,0.7347,"POLYGON((35.4935334099964 -15.9293638728681, 35.4935220500324 -15.9293134020901, 35.4934681208398 -15.9293247664871, 35.4934794807918 -15.9293752372698, 35.4935334099964 -15.9293638728681))",5GPQ3FCV+7C66
169105,-15.93728726,35.49868517,100.3006,0.7749,"POLYGON((35.4987517605797 -15.937285234829, 35.4986956118579 -15.9372235963443, 35.4986185824551 -15.9372892857496, 35.4986747311774 -15.9373509242544, 35.4987517605797 -15.937285234829))",5GPQ3F7X+3FMH
169109,-15.93772563,35.49292178,8.3891,0.6628,"POLYGON((35.4929401536396 -15.9377307595035, 35.4929256736804 -15.9377075182302, 35.4929034051932 -15.9377205063765, 35.4929178851509 -15.9377437476514, 35.4929401536396 -15.9377307595035))",5GPQ3F6V+W53V
169513,-15.93903881,35.49434435,5.4106,0.6211,"POLYGON((35.4943546046666 -15.9390277532384, 35.4943323711428 -15.9390295436574, 35.4943341197546 -15.9390498714677, 35.4943563532805 -15.9390480810483, 35.4943546046666 -15.9390277532384))",5GPQ3F6V+9PQC
178986,-15.93585256,35.50026824,20.8045,0.6883,"POLYGON((35.500284428353 -15.935877086984, 35.5002935755776 -15.9358369068995, 35.5002520401832 -15.9358280546352, 35.5002428929502 -15.9358682347191, 35.500284428353 -15.935877086984))",5GPQ3G72+M42W
180378,-15.93918417,35.49218338,34.6271,0.7235,"POLYGON((35.4922132697117 -15.9391598179512, 35.4921635659068 -15.9391515857209, 35.4921534937241 -15.9392085153253, 35.4922031975434 -15.9392167475559, 35.4922132697117 -15.9391598179512))",5GPQ3F6R+8VFQ
188225,-15.94013432,35.4921236,17.2854,0.6242,"POLYGON((35.4921426789686 -15.9401535860162, 35.4921461353041 -15.9401189584813, 35.4921045363319 -15.9401150714691, 35.4921010799892 -15.940149699004, 35.4921426789686 -15.9401535860162))",5GPQ3F5R+WRXQ
188789,-15.94011917,35.49171466,22.3898,0.7921,"POLYGON((35.4917382797255 -15.9400994547248, 35.4916945112666 -15.9400961220562, 35.4916910330425 -15.9401388847257, 35.4917348015107 -15.9401422173937, 35.4917382797255 -15.9400994547248))",5GPQ3F5R+XM49
197407,-15.93888172,35.49417243,30.3359,0.7091,"POLYGON((35.4942023561136 -15.9388612418065, 35.4941573663729 -15.938849392648, 35.4941425109764 -15.9389021951028, 35.494187500729 -15.9389140442627, 35.4942023561136 -15.9388612418065))",5GPQ3F6V+CMVP
