,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
337731,-15.42145313,35.42611825,44.3429,0.8054,"POLYGON((35.4261607492879 -15.4214424511942, 35.4261030335125 -15.4214131813115, 35.4260757502278 -15.4214638037921, 35.4261334660156 -15.4214930736802, 35.4261607492879 -15.4214424511942))",5GPQHCHG+CC9X
340234,-15.42850979,35.42540016,10.6535,0.7035,"POLYGON((35.4254201465916 -15.4285216052421, 35.4254212462449 -15.4284999051317, 35.4253801546925 -15.4284979458776, 35.4253790550347 -15.4285196459885, 35.4254201465916 -15.4285216052421))",5GPQHCCG+H5RQ
347256,-15.43048967,35.41010788,37.9079,0.6353,"POLYGON((35.4101376454335 -15.430516623869, 35.410130908148 -15.4304570997567, 35.4100781116105 -15.4304627222891, 35.4100848488807 -15.4305222464044, 35.4101376454335 -15.430516623869))",5GPQHC96+R25F
348690,-15.4326774,35.42670827,30.6391,0.7951,"POLYGON((35.4267390291531 -15.4326582565516, 35.4266925944805 -15.4326453636988, 35.4266774940853 -15.432696532744, 35.4267239287693 -15.4327094255986, 35.4267390291531 -15.4326582565516))",5GPQHC8G+WMGW
365533,-15.42706304,35.41063565,25.4236,0.6624,"POLYGON((35.4106524017991 -15.427096107584, 35.4106508025298 -15.4270292430352, 35.410618918506 -15.4270299605759, 35.410620517765 -15.4270968251263, 35.4106524017991 -15.427096107584))",5GPQHCF6+57CF
388693,-15.43288142,35.42490494,64.9591,0.7521,"POLYGON((35.4249120411695 -15.4328235466116, 35.424862973508 -15.4328397007136, 35.4248978258388 -15.4329393030104, 35.4249468935185 -15.4329231488974, 35.4249120411695 -15.4328235466116))",5GPQHC8F+RXRQ
408965,-15.42844816,35.42637035,14.0449,0.7123,"POLYGON((35.426384409751 -15.4284678163103, 35.4263898357115 -15.4284335037734, 35.4263562824831 -15.4284285114574, 35.4263508565171 -15.4284628239942, 35.426384409751 -15.4284678163103))",5GPQHCCG+JGH5
447886,-15.42403921,35.42655349,37.3059,0.7233,"POLYGON((35.4265749039912 -15.4240737852203, 35.4265790473108 -15.4240073977572, 35.4265320728253 -15.4240046391636, 35.4265279294905 -15.4240710266278, 35.4265749039912 -15.4240737852203))",5GPQHCGG+9JMG
462498,-15.42565911,35.40961801,22.7755,0.7311,"POLYGON((35.4096479777728 -15.4256498648721, 35.4096057843974 -15.4256310002143, 35.4095880355167 -15.4256683528912, 35.4096302288993 -15.4256872175515, 35.4096479777728 -15.4256498648721))",5GPQHCF5+PRQQ
485547,-15.43694467,35.42210986,11.8278,0.6638,"POLYGON((35.4221244358847 -15.4369619457438, 35.4221232352751 -15.4369265003342, 35.4220952673539 -15.436927391603, 35.4220964679588 -15.4369628370135, 35.4221244358847 -15.4369619457438))",5GPQHC7C+6RH8
496731,-15.42688838,35.42480252,74.0503,0.8058,"POLYGON((35.4248492915243 -15.4269266831359, 35.4248120053436 -15.4268297177722, 35.4247557579435 -15.4268500686824, 35.4247930441044 -15.4269470340581, 35.4248492915243 -15.4269266831359))",5GPQHCFF+6WVG
501726,-15.43501656,35.42343478,59.5558,0.6709,"POLYGON((35.4234775954382 -15.4349895100336, 35.4234002746046 -15.4349800029338, 35.4233919622863 -15.4350436071582, 35.4234692831437 -15.4350531142574, 35.4234775954382 -15.4349895100336))",5GPQHC7F+X9V9
515245,-15.42984263,35.42546938,52.2837,0.7927,"POLYGON((35.4255048322517 -15.4298118702773, 35.4254387084262 -15.429807371955, 35.4254339352881 -15.4298733878289, 35.4255000591351 -15.4298778861497, 35.4255048322517 -15.4298118702773))",5GPQHCCG+3596
