,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
5958044,-9.70879869,33.26237848,178.3224,0.7724,"POLYGON((33.2624571119771 -9.70875513689937, 33.2623478466707 -9.70873960003756, 33.2623446773084 -9.70876153965561, 33.2623056451832 -9.70875598951614, 33.2622940141461 -9.70883650421341, 33.2624423116197 -9.70885759121975, 33.2624571119771 -9.70875513689937))",6G2M77R6+FXJ2
5959091,-9.70727186,33.27777957,17.8953,0.6379,"POLYGON((33.2778072483488 -9.70727851759479, 33.2777743476856 -9.70724407340888, 33.2777518883066 -9.70726519025417, 33.2777847889696 -9.70729963444226, 33.2778072483488 -9.70727851759479))",6G2M77VH+34R5
5959192,-9.70276716,33.27852418,10.4398,0.6988,"POLYGON((33.2785349166478 -9.70278517104707, 33.2785392072826 -9.70275248151779, 33.2785134402569 -9.7027491523802, 33.2785091496196 -9.70278184190926, 33.2785349166478 -9.70278517104707))",6G2M77WH+VCR9
5959349,-9.70301355,33.2753613,67.8703,0.7997,"POLYGON((33.275414944244 -9.70300401255875, 33.2753588919466 -9.70299358925941, 33.2753635167951 -9.70296910768269, 33.2753283627829 -9.70296257055407, 33.2753143774273 -9.70303660180388, 33.2754055837525 -9.70305356223424, 33.275414944244 -9.70300401255875))",6G2M77WG+Q4XG
5959491,-9.70423632,33.27219562,63.5847,0.6432,"POLYGON((33.2722530985067 -9.70423737789734, 33.2721616374924 -9.70419031882796, 33.2721381401564 -9.70423527214696, 33.2722296011798 -9.70428233122217, 33.2722530985067 -9.70423737789734))",6G2M77WC+8V4F
5960741,-9.70585247,33.26427201,35.6316,0.7428,"POLYGON((33.2643129596783 -9.7058466900472, 33.2642461614341 -9.70582043292211, 33.2642310545901 -9.70585826305256, 33.2642978528409 -9.70588452017934, 33.2643129596783 -9.7058466900472))",6G2M77V7+MP2W
5961130,-9.69359145,33.26333804,85.8645,0.8191,"POLYGON((33.2633820051935 -9.69355126709472, 33.2632928904751 -9.69355258207597, 33.2632940752341 -9.69363162119939, 33.2633831899733 -9.69363030621748, 33.2633820051935 -9.69355126709472))",6G2M8747+H889
5962112,-9.70663185,33.27592477,55.8387,0.7787,"POLYGON((33.2759565779211 -9.70666759750812, 33.2759615072407 -9.70660110916685, 33.2758929682594 -9.70659610739379, 33.2758880389263 -9.70666259573409, 33.2759565779211 -9.70666759750812))",6G2M77VG+89VP
5964222,-9.70982212,33.27837908,40.6223,0.7046,"POLYGON((33.2784087095941 -9.70979805491773, 33.2783630095263 -9.7098154599053, 33.2783454133556 -9.70976998232242, 33.278332474285 -9.70977491019889, 33.2783653565016 -9.70985989480882, 33.2784239956475 -9.7098375619412, 33.2784087095941 -9.70979805491773))",6G2M77RH+39C2
5965955,-9.70291606,33.26841859,43.4619,0.6926,"POLYGON((33.2684471573079 -9.70288145522302, 33.2684010838328 -9.70287485131762, 33.2683900438385 -9.70295066940357, 33.2684361173239 -9.70295727331016, 33.2684471573079 -9.70288145522302))",6G2M77W9+R9M7
